керамика, кераміка
коляска, коляска
демократический, демократичний
подробность, подробиця
влюбить, закохати
организм, організм
клетка, клітина
ценный, цінний
довод, довід
немецкий, німецький
отслеживать, відслідковувати
старт, старт
мечеть, мечеть
запретить, заборонити
пчела, бджола
чрезвычайный, надзвичайний
завод, завод
толщина, товщина
готовый, готовий
вызвать, викликати
варить, варити
полёт, політ
внесение, внесення
протокол, протокол
поручение, доручення
заканчиваться, закінчуватися
мастерский, майстерний
зрелость, зрілість
здоровый, здоровий
естественный, природний
передвигаться, пересуватися
социалистический, соціалістичний
добрый, добрий
завершиться, завершитися
валютный, валютний
вспоминать, згадувати
опытный, досвідчений
обсуждение, обговорення
зверь, звір
уверять, запевняти
инвестор, інвестор
встретить, зустріти
документация, документація
суметь, зуміти
вносить, вносити
боковой, бічний
смертный, смертний
тезис, тезу
дух, дух
заказывать, замовляти
пахнуть, пахнути
исполнить, виконати
дисплей, дисплей
вещь, річ
склад, склад
новичок, новачок
характеристика, характеристика
преступник, злочинець
малое, мале
прочесть, прочитати
письменный, письмовий
занятие, заняття
рассказ, розповідь
средневековый, середньовічний
достойный, гідний
рекорд, рекорд
борьба, боротьба
девиз, девіз
микрорайон, мікрорайон
генеалогический, генеалогічний
трасса, траса
конфедерация, конфедерація
повстанец, повстанець
ссора, сварка
собирать, збирати
игнорировать, ігнорувати
героин, героїн
непростой, непростий
мечтать, мріяти
обязывать, зобов'язувати
потеря, втрата
реагировать, реагувати
преобладать, переважати
успокоить, заспокоїти
моральный, моральний
тёплый, теплий
волна, хвиля
счастливый, щасливий
корень, корінь
часть, частина
объявление, оголошення
госпожа, пані
крушение, крах
ситуация, ситуація
потребительский, споживчий
немец, німець
абитуриент, абітурієнт
выплачивать, виплачувати
расстройство, розлад
арабский, арабський
разделять, розділяти
бесспорный, безперечний
ответ, відповідь
проголосовать, проголосувати
пюре, пюре
достать, дістати
гибкость, гнучкість
проследить, простежити
чувствительность, чутливість
обладать, володіти
погасить, погасити
раствор, розчин
соединить, з'єднати
увольнение, звільнення
педагог, педагог
мотив, мотив
деревянный, дерев'яний
обменяться, обмінятися
одинаковый, однаковий
любитель, любитель
зритель, глядач
следственный, слідчий
люк, люк
позитивно, позитивно
холод, холод
великолепный, чудовий
возглавить, очолити
дракон, дракон
амнистия, амністія
пополнение, поповнення
таможня, митниця
учебный, навчальний
счёт, рахунок
прийти, прийти
научный, науковий
сыр, сир
звереть, звереть
правозащитник, правозахисник
поесть, поїсти
законодательный, законодавчий
процессор, процесор
неверный, невірний
литературный, літературний
инновационный, інноваційний
некоторый, деякий
лозунг, гасло
посмотреть, подивитися
роскошный, розкішний
либерал, ліберал
забыть, забути
тонкий, тонкий
разрабатываться, розроблятися
произведение, твір
фара, фара
станция, станція
широкий, широкий
игра, гра
либерально, ліберально
региональный, регіональний
предварительный, попередній
запуск, запуск
непосредственный, безпосередній
очистка, очистка
машиностроение, машинобудування
подбор, підбір
арбитражный, арбітражний
подписка, підписка
предотвращать, запобігати
ложиться, лягати
тайна, таємниця
минерал, мінерал
пиар, піар
митинг, мітинг
прибывать, прибувати
англичанин, англієць
подготовить, підготувати
экстракт, екстракт
вещество, речовина
пойти, піти
трудоустройство, працевлаштування
возникновение, виникнення
переживать, хвилюватися
взять, взяти
тепло, тепло
глобальный, глобальний
мешок, мішок
проблемный, проблемний
превосходство, перевага
вручить, вручити
смешной, смішний
наблюдать, спостерігати
повторный, повторний
восстанавливать, відновлювати
священный, священний
безуспешно, безуспішно
мороженое, морозиво
отмечать, відзначати
необычайно, надзвичайно
сын, син
передаваться, передаватися
конкретный, конкретний
видение, бачення
заболеть, захворіти
почка, нирка
контейнер, контейнер
ощущаться, відчуватися
спросить, запитати
фаза, фаза
реализовывать, реалізовувати
читатель, читач
снимать, знімати
парад, парад
профессионал, професіонал
выполнять, виконувати
актуальный, актуальний
плакать, плакати
дистанционный, дистанційний
реабилитировать, реабілітувати
эмиграция, еміграція
окно, вікно
грунт, грунт
беда, біда
спешить, поспішати
медицинский, медичний
заходить, заходити
соболезнование, співчуття
ввоз, ввезення
свидание, побачення
экономист, економіст
цифра, цифра
понемногу, потроху
металл, метал
первичный, первинний
верующий, віруючий
происшествие, подія
государь, государ
памятный, пам'ятний
щедро, щедро
продолжительность, тривалість
альбом, альбом
наверху, нагорі
балет, балет
проиграть, програти
ступень, щабель
убийца, вбивця
дача, дача
клеить, клеїти
возможный, можливий
доступ, доступ
посчитать, порахувати
получить, отримати
конфликт, конфлікт
несчастный, нещасний
опрос, опитування
дружба, дружба
поздний, пізній
бандит, бандит
связать, зв'язати
записка, записка
кадровый, кадровий
следование, слідування
запросто, запросто
отравление, отруєння
указ, указ
зона, зона
разногласие, розбіжність
сладкий, солодкий
копирование, копіювання
триллион, трильйон
решить, вирішити
пластик, пластик
розовый, рожевий
аквариум, акваріум
обозначение, позначення
коренной, корінний
лидировать, лідирувати
проверять, перевіряти
секс, секс
получать, отримувати
грамота, грамота
личность, особистість
святой, святий
какао, какао
раздражать, дратувати
перевозка, перевезення
сустав, суглоб
распространять, поширювати
зайти, зайти
гектар, гектар
сдать, здати
бренд, бренд
издание, видання
выпадать, випадати
позиция, позиція
мыть, мити
авторизоваться, авторизуватись
молодец, молодець
перевод, переклад
безопасность, безпека
арендовать, орендувати
наступить, наступити
состояние, стан
ранение, поранення
развитый, розвинений
сумма, сума
называть, називати
федеральный, федеральний
парфюмерия, парфумерія
свидетельство, свідоцтво
пленный, полонений
молекула, молекула
скважина, свердловина
покушение, замах
употребление, вживання
контактный, контактний
административный, адміністративний
оборудование, обладнання
пирамида, піраміда
светлый, світлий
густой, густий
удалить, вилучити
необязательно, не обов'язково
предстоящий, майбутній
чиновник, чиновник
обновляться, оновлюватися
забрать, забрати
новый, новий
водитель, водій
высокопоставленный, високопоставлений
оба, обидва
армянский, вірменський
поставщик, постачальник
нападение, напад
зарядка, зарядка
идеальный, ідеальний
пластинка, платівка
вулкан, вулкан
обход, обхід
локомотив, локомотив
приезд, приїзд
макияж, макіяж
автор, автор
выстрел, постріл
пожертвование, пожертвування
воспитанник, вихованець
оправдать, виправдати
чистый, чистий
юбилей, ювілей
замечание, зауваження
корзина, корзина
представлять, представляти
трубка, трубка
полгода, півроку
котёл, котел
развлекательный, розважальний
сложный, складний
фасад, фасад
пожар, пожежа
поход, похід
благоприятный, сприятливий
практика, практика
приостановить, призупинити
общественный, громадський
кухня, кухня
заботиться, піклуватися
физический, фізичний
памятник, пам'ятник
исчезать, зникати
красный, червоний
презентация, презентація
присвоить, привласнити
обитать, мешкати
сидение, сидіння
убитый, убитий
драгоценный, дорогоцінний
целый, цілий
отделочный, оздоблювальний
оцениваться, оцінюватися
холодное, холодне
ярмарка, ярмарок
баба, баба
призвать, закликати
крем, крем
благополучие, благополуччя
горячий, гарячий
верховный, верховний
обретение, набуття
столик, столик
ингредиент, інгредієнт
собираться, збиратися
принятие, прийняття
дитя, дитя
учить, вчити
полевой, польовий
прозрачный, прозорий
муниципалитет, муніципалітет
гордость, гордість
шок, шок
снять, зняти
предлагать, пропонувати
отчётность, звітність
фундамент, фундамент
отказать, відмовити
казна, скарбниця
создавать, створювати
спортивный, спортивний
мягкий, м'який
центр, центр
вклад, внесок
закрытый, закритий
буква, літера
формировать, формувати
выручка, виручка
психолог, психолог
яркость, яскравість
лёгкое, легке
войти, увійти
молитва, молитва
противоречие, протиріччя
партия, партія
вратарь, воротар
ботинок, черевик
сложиться, скластися
совместный, спільний
продавать, продавати
признание, визнання
смочь, змогти
известие, звістка
укреплять, зміцнювати
основательно, грунтовно
выражать, висловлювати
председатель, голова
ухаживать, доглядати
дизайн, дизайн
приговор, вирок
клип, кліп
отказаться, відмовитися
отменить, скасувати
ипотека, іпотека
занятость, зайнятість
вершина, вершина
лечебный, лікувальний
вероятный, ймовірний
предприятие, підприємство
неясно, не ясно
наводнение, повінь
выехать, виїхати
купание, купання
углубление, поглиблення
позволить, дозволити
дюймовый, дюймовий
максимум, максимум
псевдоним, псевдонім
распространяться, поширюватися
связанный, пов'язаний
дюйм, дюйм
тихий, тихий
проникать, проникати
единица, одиниця
багаж, багаж
масло, олія
делить, ділити
прохождение, проходження
упражнение, вправа
коллектив, колектив
потребоваться, знадобитися
величина, величина
высказать, висловити
исследовательский, дослідний
возмещение, відшкодування
этажный, поверховий
ветер, вітер
дуэт, дует
соотношение, співвідношення
рубеж, рубіж
пять, п'ять
требовать, вимагати
водохранилище, водосховище
захотеть, захотіти
мотор, мотор
металлический, металевий
диапазон, діапазон
эффективный, ефективний
страхование, страхування
проживать, проживати
продолжаться, тривати
назначить, призначити
доказать, довести
недаром, недарма
лента, стрічка
склон, схил
звучание, звучання
единогласно, одноголосно
насос, насос
преодоление, подолання
горсовет, міськрада
проснуться, прокинутися
умирать, вмирати
бонус, бонус
противодействие, протидія
помешать, перешкодити
отклонение, відхилення
производственный, виробничий
убедительно, переконливо
возобновление, відновлення
графика, графіка
ретро, ретро
сюжет, сюжет
пополнить, поповнити
обеспокоенность, стурбованість
играть, грати
ноготь, ніготь
плитка, плитка
торг, торг
беспокоиться, турбуватися
избранный, обраний
дорожка, доріжка
автоматический, автоматичний
устройство, пристрій
нетрудно, неважко
городской, міський
содержимое, вміст
бог, бог
глупость, дурість
евразийский, євразійський
следить, стежити
бюджет, бюджет
рацион, раціон
покрывать, покривати
глаз, око
присоединение, приєднання
религия, релігія
старый, старий
украинский, український
идентификация, ідентифікація
закончить, закінчити
оборот, оборот
холодный, холодний
латвийский, латвійський
всеобщий, загальний
окрестность, околиця
штаб, штаб
умереть, померти
исламский, ісламський
питаться, харчуватися
типичный, типовий
проявить, проявити
гражданский, цивільний
сосуд, посудина
подвал, підвал
пьеса, п'єса
выигрывать, вигравати
турецкий, турецький
цепочка, ланцюжок
напряжённость, напруженість
уничтожить, знищити
кириллица, кирилиця
литр, літр
умерший, померлий
враг, ворог
казаться, здаватися
уехать, поїхати
переносить, переносити
отключить, відключити
развод, розлучення
капитал, капітал
касса, каса
повлиять, вплинути
судебный, судовий
сделать, зробити
тонна, тонна
собрание, збори
заработок, заробіток
состоять, складатися
потребовать, зажадати
полноценный, повноцінний
змея, змія
прокат, прокат
табак, тютюн
системный, системний
фокус, фокус
отразиться, відбитися
рис, рис
день, день
описываться, описуватися
академический, академічний
надеяться, сподіватися
термин, термін
питание, харчування
являться, бути
телефонный, телефонний
конечный, кінцевий
ехать, їхати
дама, дама
достоинство, гідність
повторяться, повторюватися
путь, шлях
рыбалка, рибалка
старик, старий
потерять, втратити
слеза, сльоза
заметить, помітити
истинный, істинний
мифология, міфологія
польский, польський
амбиция, амбіція
устав, статут
вступление, вступ
приятный, приємний
имидж, імідж
месть, помста
меньший, менший
тренироваться, тренуватися
подсудимый, підсудний
открытие, відкриття
период, період
боль, біль
обычный, звичайний
преступный, злочинний
жаловаться, скаржитися
кратко, коротко
бюджетный, бюджетний
вмешиваться, втручатися
рама, рама
посылка, посилка
оставить, залишити
юниор, юніор
градус, градус
отличие, відміна
зарплата, зарплата
зарабатывать, заробляти
очки, окуляри
эволюция, еволюція
заслуга, заслуга
подниматься, підніматися
ректор, ректор
титул, титул
сильный, сильний
кресло, крісло
резолюция, резолюція
батарея, батарея
пропаганда, пропаганда
пострадавший, постраждалий
синий, синій
акт, акт
мышь, миша
оригинальный, оригінальний
массив, масив
молочный, молочний
наркотический, наркотичний
существующий, існуючий
значительный, значний
сервис, сервіс
мотоцикл, мотоцикл
научиться, навчитися
вправо, вправо
уделить, приділити
платформа, платформа
соображение, міркування
снабжение, постачання
плавание, плавання
посадить, посадити
хребет, хребет
охрана, охорона
мотивация, мотивація
опера, опера
обыграть, обіграти
новогодний, новорічний
уютный, затишний
нужный, потрібний
интеллект, інтелект
жанр, жанр
заплатить, заплатити
энергетический, енергетичний
прототип, прототип
равнодушный, байдужий
распечатать, роздрукувати
частный, приватний
экстремальный, екстремальний
ноль, нуль
совершенство, досконалість
вставить, вставити
ящик, ящик
блок, блок
направо, направо
правовой, правовий
глубина, глибина
выживание, виживання
продолжить, продовжити
происходить, відбуватися
прекращаться, припинятися
остановить, зупинити
садиться, сідати
эмоционально, емоційно
оптимизация, оптимізація
ближний, ближній
оснащение, оснащення
узнать, дізнатися
клиника, клініка
мыслить, мислити
опубликовать, опублікувати
хозяйство, господарство
эфир, ефір
доходность, прибутковість
трава, трава
поставить, поставити
неизвестный, невідомий
премьера, прем'єра
делегация, делегація
абонент, абонент
любить, кохати
разработать, розробити
розничный, роздрібний
француз, француз
память, пам'ять
переставать, переставати
прошлое, минуле
организационно, організаційно
продовольственный, продовольчий
прогноз, прогноз
мораль, мораль
использовать, використовувати
духовный, духовний
освободить, звільнити
информационный, інформаційний
нуждающийся, потребує
защитник, захисник
прекрасный, прекрасний
оказать, надати
просить, просити
уроженец, уродженець
орех, горіх
мандат, мандат
статья, стаття
воспринимать, сприймати
вылететь, вилетіти
сорт, сорт
проработать, опрацювати
зарегистрировать, зареєструвати
вирус, вірус
урок, урок
острый, гострий
природный, природний
образоваться, утворитися
систематически, систематично
украсть, вкрасти
поэзия, поезія
мужик, мужик
ячейка, осередок
оставаться, залишатися
неудачно, невдало
умеренно, помірно
почётный, почесний
ответить, відповісти
строить, будувати
наверх, наверх
бороться, боротися
магистр, магістр
депутат, депутат
ходить, ходити
обеспечить, забезпечити
разбиться, розбитися
госпитализировать, госпіталізувати
плата, плата
ввести, ввести
октябрьский, жовтневий
размышление, роздум
телекоммуникация, телекомунікація
столкнуться, зіткнутися
местный, місцевий
снижать, знижувати
выброс, викид
молодой, молодий
подопечный, підопічний
уполномоченный, уповноважений
ускорение, прискорення
допрос, допит
индикатор, індикатор
лифт, ліфт
выдержка, витримка
минимальный, мінімальний
воздушный, повітряний
подробный, докладний
татарский, татарський
майор, майор
двести, двісті
порождать, породжувати
ненадолго, ненадовго
гостиный, гостинний
геноцид, геноцид
космос, космос
мошенничество, шахрайство
тренд, тренд
признаваться, визнаватися
работоспособность, працездатність
тёмный, темний
шутка, жарт
легенда, легенда
конгресс, конгрес
бедствие, лихо
наносить, наносити
полотно, полотно
продолжиться, продовжитися
руководитель, керівник
кушать, їсти
поколение, покоління
нефтепродукт, нафтопродукт
лабораторный, лабораторний
согласование, узгодження
долгий, довгий
готовить, готувати
ширина, ширина
пасть, пащу
спокойный, спокійний
поток, потік
подчеркнуть, підкреслити
сухой, сухий
регулярный, регулярний
корова, корова
сантехник, сантехнік
приготовление, приготування
подвергнуться, піддатися
ранний, ранній
придерживаться, дотримуватися
отдавать, віддавати
записывать, записувати
трещина, тріщина
постараться, постаратися
восточный, східний
очищение, очищення
математический, математичний
обоснование, обгрунтування
грамотность, грамотність
терминал, термінал
изучать, вивчати
соглашение, угода
направляться, направлятися
выводить, виводити
страх, страх
тактик, тактик
пробег, пробіг
добавка, добавка
партнерство, партнерство
ошибочно, помилково
правда, правда
превосходить, перевершувати
объяснение, пояснення
журналист, журналіст
оформление, оформлення
музыкальный, музичний
неплохой, непоганий
паспорт, паспорт
посещать, відвідувати
совершать, здійснювати
ценить, цінувати
регистр, регістр
футбол, Футбол
зачёт, залік
женщина, жінка
совершенный, досконалий
антенна, антена
двенадцать, дванадцять
координационный, координаційний
сомневаться, сумніватися
женский, жіночий
белый, білий
становиться, ставати
репутация, репутація
вера, віра
ощутить, відчути
тренинг, тренінг
творение, творіння
погружение, занурення
факт, факт
поражение, поразку
угроза, загроза
денежный, грошовий
шесть, шість
форум, форум
повернуть, повернути
построить, побудувати
комментарий, коментар
минеральный, мінеральний
мемориал, меморіал
ресурс, ресурс
сообщение, повідомлення
карман, кишеня
черноморский, чорноморський
аналог, аналог
услышать, почути
зомби, зомбі
тупик, глухий кут
понимание, розуміння
фотоаппарат, фотоапарат
религиозный, релігійний
штаны, штани
сверх, понад
кредитный, кредитний
творчество, творчість
клуб, клуб
кредит, кредит
удача, удача
компакт, компакт
изготавливаться, виготовлятися
скрывать, приховувати
клинический, клінічний
санаторий, санаторій
неизменный, незмінний
чемпионат, чемпіонат
шкаф, шафа
кровля, покрівля
печень, печінка
покрыть, покрити
торговец, торговець
товар, товар
захотеться, захотітися
бег, біг
чистота, чистота
классика, класика
кража, крадіжка
монитор, монітор
потолочь, потовкти
название, назва
двойной, подвійний
отвечать, відповідати
эпидемия, епідемія
знакомый, знайомий
малыш, малюк
удивляться, дивуватися
оппозиционный, опозиційний
возможность, можливість
любой, будь-який
конец, кінець
страшный, страшний
мирный, мирний
мультфильм, мультфільм
рукопись, рукопис
нарезать, нарізати
политически, політично
патология, патологія
воспользоваться, скористатися
гамма, гамма
возмущение, обурення
базироваться, базуватися
