лошадка, конячка
печёночный, печінковий
лесотехнический, лісотехнічний
водоохлаждение, водоохолодження
бумагодержатель, паперотримач
корпусосбірний, корпусосборочний
трубопроводчик, трубопровідник
аморальный, аморальний
гипертонический, гіпертонічний
поддерживать, підтримувати
подземельный, підземельний
модулятор, модулятор
миниатюризация, мініатюризація
лесосырьевой, лісосировинний
безлоскутный, безлоскутний
высовывать, висовувати
настойчивый, наполегливий
общегигиенический, загальногігієнічний
теплообменник, теплообмінник
каскадный, каскадний
фундамент, фундамент
полуестественный, напівприродний
перитонит, перитоніт
трубач, трубач
обосновывать, обґрунтовувати
карантин, карантин
пожароустойчивость, пожежостійкість
вагонопоток, вагонопотік
кнут, батіг
полутермический, напівтермічний
поспешный, поспішний
негуманный, негуманний
сосудистый, судинний
малоэтажный, малоповерховий
гуманистический, гуманістичний
перераспределить, перерозподілити
кинолаборатория, кінолабораторія
вывеска, вивіска
бульвар, бульвар
обезоруживание, обеззброєння
перефасовка, перефасовка
водоочистной, водоочисний
алкоголизировать, алкоголізовувати
градиент, градієнт
минус, мінус
гладиолус, гладіолус
замаскированный, замаскований
миндалина, мигдалина
геодинамический, геодинамічний
метафизик, метафізик
кувшинка, латаття
клык, ікло
обладать, володіти
полуторакратный, півторакратний
измельчить, подрібнити
поплавок, поплавок
внутрипарламентский, внутрішньопарламентський
погрязнуть, загрузнути
гидрогенератор, гідрогенератор
cпектрометр, cпектрометр
деконструкция, деконструкція
выкупать, викуповувати
гипофизарный, гіпофізарний
крыло, крило
восполняться, заповнюватися
комплектовочный, комплектувальний
видеопроекционный, відеопроекційний
эластичный, еластичний
грамотность, грамотність
пчелиный, бджолиний
бегун, бігун
токсикологический, токсикологічний
централизовать, централізувати
магнитомеханический, магнітомеханічний
фестивальный, фестивальний
трикотажный, трикотажний
муравейник, мурашник
бегунец, бігунець
балюстрада, балюстрада
мошенник, шахрай
трехъярусный, триярусний
бездействовать, бездіяти
аграрний, аграрний
выстроить, вибудувати
выращиваться, вырощувати
паукообразный, павукоподібний
передозировка, передозування
факел, факел
высокотехнологичный, високотехнологічний
cтаж, cтаж
мрачный, похмурий
безработица, безробіття
антидиффузный, антидифузний
детерминированный, детермінований
электрорезекция, електрорезекція
электротранспорт, електротранспорт
газообразование, газоутворення
преступление, злочин
вахтер, вахтер
вольфрамосодержащий, вольфрамовмісний
адаптировать, адаптувати
рукопашный, рукопашний
коррупционность, корупційність
мониторинговый, моніторинговий
переизбрание, переобрання
капсуляция, капсуляція
ракетостроение, ракетобудування
укрепляться, зміцнюватися
базисный, базисний
дельтовидный, дельтовидний
высушить, висушити
полузакрытый, напівзакритий
метростроение, метробудування
энциклопедия, енциклопедія
затопить, затопити
дивиденд, дивіденд
подмножество, підмножина
высококонтрастный, висококонтрастний
гастрит, гастрит
гримировочный, грімувалиний
подавлять, пригнічувати
бухгалтерия, бухгалтерія
рейтинговый, рейтинговий
геоботанический, геоботанічний
водоподпорный, водопідпірний
первоочередной, першочерговий
ароматизированный, ароматизований
двуязычный, двомовний
законопроектный, законопроектний
башмачок, черевичок
репетиционный, репетиційний
проконтролировать, проконтролювати
кафедральный, кафедральний
антиколлекторский, антиколекторський
перепланировка, перепланування
прерываться, перериватися
полужирный, напівжирний
палитра, палітра
cлужба, cлужба
американка, американка
слуга, слуга
церемониальный, церемоніальний
рог, ріг
мертворождаемость, мертвонароджуваність
молочнокислый, молочнокислий
антропологический, антропологічний
гемангиобластома, гемангіобластома
крупногабаритный, великогабаритний
cреднесписочный, cередньосписковий
газосварщик, газозварник
гипервентиляция, гіпервентиляція
картофельный, картопляний
периметр, периметр
принципиальность, принциповість
взаимозависимый, взаємозалежний
видеотека, відеотека
закупорить, закупорити
вращение, обертання
монтаж, монтаж
ультратонкий, ультратонкий
мучной, борошняний
пригласить, запросити
монорельсовый, монорельсовий
мозговой, мозковий
монолитный, монолітний
дактилоскопический, дактилоскопічний
затекание, затікання
бугорчатый, горбкуватий
метеостанция, метеостанція
послеремонтный, післяремонтний
молокосырье, молокосировина
вежливый, ввічливий
глиняный, глиняний
хребтовый, хребтовий
видеосерверный, відеосерверний
аутентичный, автентичний
квадроцикл, квадроцикл
перепрограммировать, перепрограмувати
авансирование, авансування
подталкивать, підштовхувати
чайник, чайник
кладовщик, комірник
грунтовальщик, грунтувальник
покрышка, покрышка
библиография, бібліографія
горничный, горнічний
притязание, домагання
хлебозаводской, хлібозаводський
глюкозный, глюкозний
уют, затишок
первостепенный, першорядний
покормить, погодувати
внутриреакторный, внутрішньореакторний
кинематический, кінематичний
мокрый, мокрий
натирать, натирати
влагообмен, вологообмін
электропогрузчик, електронавантажувач
генетический, генетичний
предсказуемый, передбачуваний
внутриказначейский, внутрішньоказначейський
теплофизический, теплофізичний
удвоенный, подвоєний
хрустеть, хрустіти
вылиться, вилитися
марихуана, марихуана
обнаружиться, виявитися
прелестный, чарівний
затормозить, загальмувати
ускорительный, прискорювальний
инклюзия, інклюзія
стажировка, стажування
приговорить, засудити
видеоматериал, відеоматеріал
автораспознавание, авторозпізнавання
теплопроводность, теплопровідність
осьминог, восьминіг
комфортабельный, комфортабельний
водопропускной, водопропускний
подниматься, підніматися
профессиональный, професіональний
многозадачный, багатозадачний
водительский, водійський
патогенетический, патогенетичний
полукруглый, напівкруглий
литься, литися
сурдопереводчик, сурдоперекладач
опрыскивание, обприскування
выступление, виступ
высокостойкий, високостійкий
милиционер, міліціонер
антистатичный, антистатичний
аутоагрессивный, аутоагресивний
антидетонационный, антидетонаційний
самоходный, самохідний
маслосырзавод, маслосирзавод
патогенный, патогенний
выдумка, вигадка
балерина, балерина
межрельсовый, міжрельсовий
манипулирование, маніпулювання
мочка, мочка
пианист, піаніст
злоупотребление, зловживання
аминокислотный, амінокислотний
увеличиться, збільшитися
катетеризация, катетеризація
быстроходный, швидкохідний
досуг, дозвілля
неврологический, неврологічний
закопать, закопати
клавиатурный, клавіатурний
диверсифицировать, диверсифікувати
безвоздушный, безповітряний
дисфункция, дисфункція
влагоудерживать, вологоутримувати
абсцесс, абсцес
велотур, велотур
поздравительный, вітальний
экспозиционный, експозиційний
межремонтный, міжремонтний
затрачивать, витрачати
засорить, засмітити
переваливать, превалювати
поместиться, поміститися
циклон, циклон
аллергология, алергологія
упаковать, упакувати
водоотталкивающий, водовідштовхуючий
игральный, гральний
политизировать, політизувати
пастуший, пастуший
истребление, винищення
газозаправочный, газозаправний
деструктивный, деструктивний
вялотекущий, уповільнений
госпитализировать, госпіталізувати
взорвать, підірвати
перевернуть, перевернути
общегражданский, загальногромадянський
перепёлка, перепілка
криминалистический, криміналістичній
нефтедобывающий, нафтовидобувний
цветочный, квітковий
бастовать, страйкувати
покойник, небіжчик
конопляный, конопляний
пневмония, пневмонія
дворянство, дворянство
преуменьшить, применшити
шахта, шахта
спроектировать, спроектувати
грушевидный, грушовидний
дизелестроительный, дизелебудівний
многонациональный, багатонаціональний
почвообрабатывающий, ґрунтообробний
апластический, апластичний
лозунг, гасло
гробовщик, трунар
воссоздать, відтворити
газоводопроводный, газоводопровідний
трехфазный, трифазний
закономерный, закономірний
модельер, модельєр
кардиореспираторный, кардіореспіраторний
декоративный, декоративний
водоиспользование, водовикористання
водорегулирующий, водорегулюючий
вывертывание, викручування
шахтёрский, шахтарський
судоходный, судноплавний
вырождение, виродження
аллергенный, алергенний
предпоследний, передостанній
атравматический, атравматичний
повреждать, пошкоджувати
пожарник, пожежник
бортпроводник, бортпровідник
полисахаридный, полісахаридний
резьба, різьблення
мостостроение, мостобудування
горногеологический, гірничогеологічний
воробей, горобець
аудиодокументирование, аудіодокументування
асбестовский, асбестовський
лиственный, листяний
получать, отримувати
электроника, електроніка
асинхронный, асинхронний
натуралистический, натуралістичний
космодром, космодром
деревообратывать, деревообробляти
верблюжий, верблюжий
пшеничный, пшеничний
кинокомедия, кінокомедія
бизнесмен, бізнесмен
высокогорность, високогірність
бандитизм, бандитизм
популярность, популярність
ветроэлектростанция, вітроелектростанція
библиофил, бібліофіл
преподавать, викладати
вынудить, змусити
компенсировать, компенсувати
мотоколяска, мотоколяска
фаланговый, фаланговий
балетмейстерский, балетмейстерський
скульптурный, скульптурний
вычленять, виокремлювати
микрофлора, мікрофлора
сепсис, сепсис
обидеть, образити
приравниваться, прирівнюватися
фиктивный, фіктивний
булочный, булочний
кассир, касир
микрокомпрессор, мікрокомпресор
межгосударственный, міждержавний
выкидыш, викидень
кардиоваскуляр, кардіоваскуляр
турникет, турнікет
многоэтажный, багатоповерховий
вышеперечисленный, вищеперелічений
взаимоконтроль, взаємоконтроль
сарай, сарай
инкорпорировать, інкорпорувати
вспомнить, згадати
переливаться, переливатися
попеременный, поперемінний
ликвидация, ліквідація
тепловыделяющий, тепловиділяючий
мерка, мірка
садовый, садовий
губительный, згубний
новообразованный, новостворений
эволюционный, еволюційний
пожертвовать, пожертвувати
дешифровка, дешифрування
поликультурный, полікультурний
пожертвование, пожертвування
последовательница, послідовниця
моделировать, моделювати
выловить, виловити
пожелание, побажання
чернозёмный, чорноземний
закруглить, закруглити
космоаэрогеологический, космоаерогеологічний
корректировать, коригувати
заглушка, заглушка
аспиратор, аспіратор
дискомфортный, дискомфортний
муляж, муляж
приборостроительный, приладобудівний
аромат, аромат
глубокий, глибокий
крапивный, кропив'яний
обличение, викриття
политехнический, політехнічний
перевооружить, переозброїти
ликероводочный, лікеро-горілчаний
полуволнистый, напівхвилястий
монополистический, монополістичний
преобразоваться, перетворитися
лицензированный, ліцензований
документирование, документування
короткошёрстный, короткошерстий
клочок, клаптик
дешёвый, дешевий
трахеобронхиальный, трахеобронхіальний
прифронтовой, прифронтовий
позолотить, позолотити
статья, стаття
столкновение, зіткнення
воротничок, комірець
демократичность, демократичність
нанотехнологический, нанотехнологічний
бомбардировка, бомбардування
пингвиния, пінгвін
древопосадка, деревопосадка
аутоиммунный, аутоімунний
приуменьшить, применшити
винтовочный, гвинтівковий
самообеспеченность, самозабезпеченість
козерог, козерог
подкисление, підкислення
ламинат, ламінат
девственный, незайманий
долговременный, довготривалий
лодочный, човновий
тепличный, тепличний
агрономия, агрономія
исследовать, досліджувати
грешный, грішний
предшествовать, передувати
пеликанообразный, пеліканоподібний
внутрибанковский, внутрішньобанківський
прибавлять, додавати
лидировать, лідирувати
мультисервисный, мультисервісний
мультидисциплинарный, мультидисциплінарний
модный, модний
маркированный, маркований
правопреемник, правонаступник
мерный, мірний
англоговорящий, англомовний
дрожать, тремтіти
клан, клан
прогрессировать, прогресувати
капиталистический, капіталістичний
оборудование, обладнання
закрепляться, закріплюватися
ближневосточный, близькосхідний
всплыть, спливти
классифицировать, класифікувати
послать, послати
выгореть, вигоріти
нефтенасосный, нафтонасосний
уличный, вуличний
схематический, схематичний
челюсть, щелепа
загромождение, загромадження
инфузионный, інфузійний
болезненный, хворобливий
свежезамороженный, свіжозаморожений
лесосплав, лісосплав
складирование, складування
дальнозоркость, далекозорість
подвязать, підв'язати
бакалавриат, бакалавріат
высокодуховный, високодуховний
ломка, ломка
венеролог, венеролог
медиапространство, медіапростір
метафора, метафора
лояльность, лояльність
плодоводство, плодівництво
агропродовольственный, агропродовольчий
ветучреждение, ветзаклад
глупец, дурень
гастроэнтеролог, гастроентеролог
воровство, крадіжка
дислокационный, дислокаційний
километровый, кілометровий
аудиометрический, аудіометричний
артерия, артерія
подогревать, підігрівати
директорский, директорський
товаротранспортный, товаротранспортний
фотодиод, фотодіод
выгуливать, вигулювати
полупогружной, напівзанурювальний
месторождение, родовище
заманивать, заманювати
кастет, кастет
документационный, документаційний 
cтадион, стадіон
умножение, множення
магнитотерапия, магнітотерапія
влагоотталкивающий, вологовідштовхувальний
застыть, застигнути
мультипликационный, мультиплікаційний
конкурентоспособный, конкурентоспроможний
арбузный, кавуновий
мёрзлый, мерзлий
круиз, круїз
выносливость, витривалість
вялый, млявий
командировать, відряджати
великовечный, великовічний
кинофотоаппаратура, кінофотоапаратура
межтерриториальный, міжтериторіальний
электрокардиостимулятор, електрокардіостимулятор
взаиморезервирование, взаєморезервування
дрессура, дресура
видеоцифровой, відеоцифровий
загрязнять, забруднювати
закреплять, закріплювати
cуд, суд
тромбоз, тромбоз
постреабилитационный, постреабілітаційний
винтовка, гвинтівка
антиконституционный, антиконституційний
бомба, бомба
вынуть, вийняти
внутриаппаратный, внутрішньоапаратний
полуавтомат, напівавтомат
антибиотик, антибіотик
пробирка, пробірка
водоприёмный, водоприймальний
нахально, нахабно
грызунонепроницаемость, гризунонепроникність
покраска, фарбування
высокоинтеллектуальный, високоінтелектуальний
настороженный, насторожений
бульдозер, бульдозер
пользоваться, користуватися
бюрократизм, бюрократизм
брусничный, брусничний
блогер, блогер
несовершеннолетний, неповнолітній
дистилляторный, дистиляторний
каракатица, каракатиця
высокоподготовленный, високопідготовлений
викинг, вікінг
мутация, мутація
обостриться, загостритися
косметологический, косметологічний
добавка, добавка
ленточный, стрічковий
декларировать, декларувати
монокристаллический, монокристалічний
асфальтировщик, асфальтувальник
апостилирование, апостилювання
звукоизоляционный, звукоізоляційний
голубоватый, блакитнуватий
полувоенный, напіввійськовий
томат, томат
заместительство, заступництво
минерализировать, мінералізувати
гипнотический, гіпнотичний
зарядить, зарядити
водоканал, водоканал
проветривание, провітрювання
облегчиться, полегшитися
дегустатор, дегустатор
промышленный, промисловий
гнушаться, гребувати
типоразмер, типорозмір
акустический, акустичний
патентованный, патентований
подпитывать, підживлювати
лунный, місячний
взаимопризнание, взаємовизнання
книгохранилище, книгосховище
бледность, блідість
аттестовываться, атестуватися
малозначительный, малозначний
бактериоскопический, бактериоскопический
блатной, блатний
фруктоза, фруктоза
компьютеризированный, комп'ютеризований
трехмесячный, тримісячний
абонентный, абонентський
переименовывать, перейменовувати
полюсный, полюсний
замёрзнуть, замерзнути
взаимопонимание, взаєморозуміння
маникюрша, манікюрниця
грузовладелец, вантажовласник
инсулин, інсулін
аргументированный, аргументований
фейерверк, феєрверк
укомплектовать, укомплектувати
аплодисменты, оплески
убеждение, переконання
антидопинговый, антидопінговий
префектура, префектура
теплообменный, теплообмінний
послевузовский, післявузівський
aнкeт, aнкeт
колониализм, колоніалізм
металлочерепица, металочерепиця
индикатор, індикатор
токсикомания, токсикоманія
коммуникация, комунікація
пролонгация, пролонгація
послекризисный, післякризовий
внутрискважинный, внутрішньосвердловинний
идентифицировать, ідентифікувати
супружеский, подружній
авантюризм, авантюризм
атеистический, атеїстичний
внутриаптечный, внутрішньоаптечний
партизан, партизан
укрупненный, збільшений
фронтальный, фронтальний
корнеклубнеплодный, коріннябульбоплоди
использоваться, використовуватися
позолотный, позолотний
предотвращать, запобігати
достоверность, достовірність '
углеводородный, вуглеводневий
газоводоочиститель, газоводоочищувач
вырубить, вирубити
взаимопроникновение, взаємопроникнення
общелабораторный, загальнолабораторний
техногенный, техногенний
вытеснять, витісняти
анимационный, анімаційний
ацетиленовоздушный, ацетіленоповітряний
клещ, кліщ
полужёстко, напівтвердо
блокировочный, блокувальній
капитализировать, капіталізувати
общегосударственный, загальнодержавний
всеукраинский, всеукраїнський
высококвалифицированный, висококваліфікований
залогодатель, заставодавець
стоматолог, стоматолог
тракторостроение, тракторобудування
полимеризационный, полімеризаційний
безвредный, нешкідливий
кустарниковый, чагарниковий
двенадцатимильный, дванадцятимильний
биография, біографія
интересный, цікавий
водоупорный, водотривкий
пафосный, пафосний
полиметаллический, поліметалічний
колбасный, ковбасний
клешня, клешня
подогреватель, підігрівач
маска, маска
плодоносить, плодоносити
подстрекатель, підбурювач
покупательский, купівельний
многоязычный, багатомовний
прихватывать, прихоплювати
единообразный, одноманітний
краткость, стислість
мототехника, мототехніка
абсорбер, абсорбер
коготь, кіготь
магистраль, магістраль
глюкозоположительный, глюкозопозитивний
общенормативный, загальнормативний
кардиоисследование, кардіодослідження
теплопередача, теплопередача
мелкосерийный, малосерійний
топливоснабжающий, паливопостачальний
удерживать, утримувати
умножаться, множитися
виноградинка, виноградинка
гемофил, гемофіл
пастор, пастор
безоговорочно, беззастережно
аудиоадаптер, аудиоадаптер
домохозяйка, домогосподарка
изготавливать, виготовляти
хронически, хронічно
дорожностроительный, дорожньобудівний
подкормка, підгодівля
дерматовенеролог, дерматовенеролог
медалист, медаліст
взвешивать, зважувати
ювелирный, ювелірний
шлифовщик, шліфувальник
дерзость, зухвалість
пристёгиваться, пристібатися
покрасить, пофарбувати
интрига, інтрига
взрывобезопасный, вибухобезпечний
углекислота, вуглекислота
cпектрофлуориметр, cпектрофлуоріметр
подгонка, підгонка
амидохлорный, амідохлорний
нефтехранилище, нафтосховище
бактериальный, бактеріальний
ревматологический, ревматологічний
начальница, начальниця
аэрокосмический, аерокосмічний
гвоздь, цвях
циклический, циклічний
позвоночник, хребет
свёртываемость, згортання
военкомат, військкомат
подлокотник, підлокітник
безвозмездность, безоплатність
воздухонагревательный, повітрянонагрівальний
кустарный, кустарний
гидрант, гідрант
лесохимия, лесохімия
любительский, аматорський
перемалывание, перемелювання
конденсатоотводчик, конденсатовідвідник
грануляция, грануляція
субъект, суб'єкт
воздвигнуть, спорудити
безбилетный, безквитковий
пастеризовать, пастеризувати
атракцион, атракціон
мотострелковый, мотострілецький
опечатка, друкарська помилка
огнестойкий, вогнестійкий
миграция, міграція
флотилия, флотилія
алмазный, алмазний
глазодвигательный, окоруховий
водонагреватель, водонагрівач
закуска, закуска
кровля, покрівля
обманывать, обманювати
баночка, баночка
гладенький, гладенький
двигателестроительный, двигунобудівний
мудрый, мудрий
загрязнить, забруднити
кокос, кокос
внутриэкономический, внутрішньо-економічний
баловство, баловство
рыбопромышленный, рибопромисловий
поиграть, пограти
авантюра, авантюра
монастырский, монастирський
пепельный, попелястий
деликатный, делікатний
взаимообязательство, взаємозобов'язання
алфавитный, алфавітний
клеить, клеїти
привязывание, прив'язування
вытаскивание, витягування
полуобрушить, напіврозвалити
бензостойкий, бензостійкий
конноспортивный, кінноспортивний
заготовительный, заготівельний
ветбаклаборатория, ветбаклабораторія
привокзальный, привокзальний
встряхнуть, струсити
дробильный, дробильний
мироустройство, світоустрій
атмосферостойкость, атмосферостійкість
лосьон, лосьйон
безаварийный, безаварійний
теплогенерирующий, теплогенеруючий
метаболизация, метаболізація
антикварный, антикварний
винодельческий, виноробний
дискуссионный, дискусійний
закройщица, закрійниця
офтальмологический, офтальмологічний
полумягкий, напівм'який
каркасный, каркасний
крот, кріт
кисломолочный, кисломолочний
ухудшать, погіршувати
подчёркивать, підкреслювати
выветриваться, вивітрюватися
картофелечистка, картоплечистка
кармический, кармічний
криминогенный, криміногенний
кормозаготовительный, кормозаготівельний
безмолвствовать, мовчати
малонаселенный, малозаселений
лимонный, лимонний
безводный, безводний
комбинация, комбінація
добровольный, добровільний
абстракция, абстракція
аномальный, аномальний
бетонолом, бетонолом
пищеводный, стравохідний
пиротехнический, піротехнічний
специалист, спеціаліст
бездотационный, бездотаційний
формировать, формувати
газогенератор, газогенератор
фритюрница, фритюрниця
переохладить, переохолодити
квадратик, квадратик
паспортный, паспортний
парламентарий, парламентарій
дежурный, черговий
урбанизированный, урбанізований
приближаться, наближатися
гарантировать, гарантувати
билингвистический, білінгвістичний
безукоризненный, бездоганний
ключ, ключ
монопольный, монопольний
пристегнуть, пристебнути
детонационный, детонаційний
взрывчатка, вибухівка
включаться, включатися
дискредитировать, дискредитувати
макуха, макуха
внутригрупповой, внутрішньогруповий
землевладение, землеволодіння
полуфабрикат, напівфабрикат
общегородской, загальноміський
пахнуть, пахнути
подхватывать, підхоплювати
стиральный, пральний
инсулинозависимый, інсулінозалежний
быстрорастворимый, швидкорозчинний
инфицированный, інфікований
микроорошение, мікрозрошення
взаимоотношение, взаємовідношення
лифтёр, ліфтер
полемика, полеміка
припухлость, припухлість
карбонатный, карбонатний
полёт, політ
картографический, картографічний
загорание, загоряння
авиагрузовой, авіавантажний
консервированный, консервований
возбудить, порушити
вакуум, вакуум
преклонение, схиляння
видеооборудование, відеообладнання
индикаторный, індикаторний
полуглобальный, напівглобальний
безалкогольный, безалкогольний
подкласс, підклас
провозглашение, проголошення
бензопровод, бензопровід
мусороуборочный, сміттєзбиральний
морфогенетический, морфогенетичний
безличный, безособовий
малодоступный, малодоступний
внутривенный, внутрішньовенний
доверять, довіряти
кислотозащитный, кислотозахисний
электромонтер, електромонтер
гирлянда, гірлянда
грузобагаж, вантажобагаж
cовместный, спільний
вспышка, спалах
фотокорреспондент, фотокореспондент
сушёный, сушений
насыщенный, насичений
балансировочный, балансувальний
престарелый, старезний
цианид, ціанід
дайвинг, дайвінг
претендовать, претендувати
мегаструктура, мегаструктура
содружественный, співдружній
дефектный, дефектний
пастбище, пасовище
монархический, монархічний
берегоукрепительный, берегоукріплювальний
деревянистый, дерев'янистий
малиновый, малиновий
амидосульфурон, амідосульфурон
волосина, волосина
привносить, привносити
принадлежать, належати
якорь, якір
газозаправка, Газозаправки
преувеличить, перебільшити
местожительство, місце проживання
вручаться, вручатися
членство, членство
мрак, морок
карусельный, карусельний
высокохудожественный, високохудожній
лодыжка, щиколотка
вегетососудистый, вегетосудинний
криминальный, кримінальний
cофинансирование, співфінансування
огнеупорный, вогнетривкий
настоятельный, настійна
лесоресурсный, лісоресурсний
белковый, білковий
прорезь, проріз
амортизированный, амортизований
диабетологический, діабетологічний
мертворождённый, мертвонароджений
приподнятость, піднесеність
aмериканский, aмериканский
кооперационный, коопераційний
легковоспламеняющийся, легкозаймистий
подключать, підключати
собранный, зібраний
градообразующий, градотворчий
ложный, помилковий
полисорбат, полісорбат
природорегулирование, природорегулювання
топор, сокира
возглавить, очолити
зубопротезирование, зубопротезування
колясочник, візочник
гидромассажный, гідромасажний
вертолетостроение, вертольотобудування
высадить, висадити
маскировка, маскування
консолидировать, консолідувати
общедопустимый, загальнодопустимий
ламинировать, ламінувати
притрассовый, притрасовий
иммунодефицит, імунодефіцит
движимый, рухомий
аккредитировать, акредитувати
засчитываться, зараховуватися
газокомпрессор, газокомпресор
кегельбан, кегельбан
тренажерный, тренажерний
континентальный, континентальний
тупиковый, тупиковий
пивоварение, пивоваріння
главенство, верховенство
биллет, білет
интрижка, інтрижка
крепление, кріплення
бедствие, лихо
поликристалл, полікристал
погружаться, занурюватися
листва, листя
кратер, кратер
водонепроницаемый, водонепроникний
удобрение, добриво
нижнечелюстной, нижньощелеповий
молочнопродуктовый, молочнопродуктовий
ремесло, ремесло
подморозить, підморожувати
геолог, геолог
многомиллиардный, багатомільярдний
поляризационный, поляризаційний
перенаправлять, перенаправляти
кардиостимуляция, кардиостимуляція
познание, пізнання
передвигать, пересувати
артефакт, артефакт
кольцеобразный, кільцеподібний
просушиваться, просушуватись
переориентироваться, переорієнтуватися
дегрануляция, дегрануляція
бесперебойность, безперебійність
полиморфизм, поліморфізм
капюшон, капюшон
грибковый, грибковий
позиционировать, позиціонувати
паталогоанатомический, паталогоанатомічний
паспортизировать, паспортизувати
заселять, заселяти
формальный, формальний
кардинальный, кардинальний
внутриобъектный, внутрішньооб'єктний
посмертный, посмертний
гриль, гриль
банально, банально
моментальный, моментальний
испытательный, випробувальний
болеутоляющий, болезаспокійливий
грибной, грибний
пятизначный, п'ятизначний
защёлка, засувка
аккумуляционный, акумуляційний
умерший, померлий
вегетарианский, вегетаріанський
кожа, шкіра
подготавливать, готувати
перехлестнуться, перехльостуватися
дисквалификация, дискваліфікація
пенообразный, піноподібний
биоаккумулятивный, біоакумулятивний
изогнутый, вигнутий
интерактивность, інтерактивність
двойственный, двоїстий
уборщица, прибиральниця
облицовывание, облицювання
фармакотерапевтический, фармакотерапевтичний
бетонораздатчик, бетонороздавач
миномёт, міномет
дипломирование, дипломування
землетрясение, землетрус
антикоррозионный, антикорозійний
локомотив, локомотив
тарифицироваться, тарифікуватися
полноформатный, повноформатний
природосбережение, природозбереження
бинокулярный, бінокулярний
гипоаллергенный, гіпоалергенний
взаимоподдержка, взаємопідтримка
