российской , російської
системе, системі
меры, заходи
численности, чисельності
лицензии, ліцензії
защите, захисту
эксплуатации, експлуатації
бюджеты, бюджети
сельское, сільське
ликвидации, ліквідації
транспортной, транспортної
предприятий, підприємств
положение, становище
характера, характеру
заявителя, заявника
наличии, наявності
представления, уявлення
случаях, випадках
земельных, земельних
доходы, доходи
лесного, лісового
малого, малого
группы, групи
обязательного, обов'язкового
военной, військової
наличие, наявність
информация, інформація
определяется, визначається
регулирования, регулювання
применения, застосування
техники, техніки
разработка, розробка
показатель, показник
родившаяся, народилася
которым, яким
культурного, культурного
закупка, закупівля
указанием, зазначенням
юридических, юридичних
вопросы, питання
экономики, економіки
органах, органах
размещения, розміщення
лицами, особами
организацией, організацією
курской, курської
водоснабжения, водопостачання
имеющих, мають
результате, внаслідок
судов, судів
проживающая, яка проживає
месту, місця
центра, центру
начальник, начальник
земельного, земельного
квартал, квартал
лицо, обличчя
новых, нових
определения, визначення
сооружений, споруд
заключения, укладення
результатам, результатами
голосования, голосування
развитию, розвитку
значение, значення
квалификации, кваліфікації
принять, прийняти
формирования, формування
автономным, автономним
исполнение, виконання
медицинских, медичних
аппарата, апарату
отдельные, окремі
технической, технічної
здоровья, здоров'я
экономической, економічної
указывается, вказується
результатов, результатів
признать, визнати
директора, директора
составляет, становить
земель, земель
информационных, інформаційних
семей, сімей
редакции, редакції
ассигнований, асигнувань
обращения, звернення
коммунального, комунального
раздела, розділу
юридического, юридичної
являются, є
водных, водних
территорий, територій
руководитель, керівник
службу, службу
указанный, зазначений
источников, джерел
предпринимательства, підприємництва
ценных, цінних
работу, роботу
агентства, агентства
советом, радою
таких, таких
следующих, наступних
использование, використання
пермского, пермського
акта, акта
осуществлении, здійсненні
гражданского, цивільного
административного, адміністративного
базы, бази
необходимости, необхідності
интернет, інтернет
действий, дій
ростовской, ростовської
обязанностей, обов'язків
место, місце
решений, рішень
основного, основного
обеспечить, забезпечити
показатели, показники
служащих, службовців
природных, природних
гражданина, громадянина
дома, будинки
наук, наук
самарской, самарської
актами, актами
открытого, відкритого
городского, міського
соответствующего, відповідного
дорожного, дорожнього
Крым, Крим
объеме, обсязі
приема, прийому
избирательной, виборчої
службе, службі
главы, глави
поступления, надходження
приложении, додатку
формирование, формування
тверской, товариський
закупки, закупівлі
наследия, спадщини
расположенных, розташованих
приложения, додатки
дополнительного, додаткового
приморского, приморського
чувашской, чуваської
административных, адміністративних
омской, омської
составе, складі
должность, посаду
число, число
получение, отримання
правовой, правової
категории, категорії
некоммерческим, некомерційним
лицом, особою
исполнитель, виконавець
повышения, підвищення
северной, північній
воронежской, воронезької
настоящий, справжній
размера, розміру
профессиональной, професійної
статье, статті
данные, дані
первом, першому
регламента, регламенту
родившийся, народився
восточной, східній
работе, роботі
ремонта, ремонту
увеличение, збільшення
целей, цілей
обязанности, обов'язки
информацию, інформацію
инженерных, інженерних
международных, міжнародних
надзору, нагляду
ответственный, відповідальний
минюстом, Мін'юстом
полномочия, повноваження
информационной, інформаційної
городской, міський
ходе, під час
графе, графі
проживающий, проживає
сторон, сторін
экспертизы, експертизи
предусмотренные, передбачені
программу, програму
результаты, результати
пунктов, пунктів
отношений, відносин
массовой, масової
электрической, електричної
форма, форма
категорий, категорій
подготовке, підготовці
дороги, дороги
северная, північна
пожарной, пожежної
обучающихся, навчаються
специалистов, фахівців
комиссия, комісія
средствами, засобами
свердловской, свердловської
торговли, торгівлі
подготовка, підготовка
районного, районного
количества, кількості
районов, районів
чрезвычайных, надзвичайних
налога, податку
федеральная, федеральна
заявление, Заява
дума, дума
тульской, тульської
копии, копії
трудовой, трудовий
ранее, раніше
разработки, розробки
дом, хата
официального, офіційного
осуществляющих, здійснюють
окружающей, навколишнього
денежных, грошових
лесных, лісових
зоны, зони
финансовой, фінансової
министерству, міністерству
отчетности, звітності
производство, виробництво
новосибирской, новосибірської
реестра, реєстру
правового, правового
основные, основні
органам, органам
допускается, допускається
раздел, розділ
таможенного, митного
уполномоченного, уповноваженого
указанным, зазначеним
общем, Загалом
ленинградской, ленінградської
образовательного, освітнього
администрация, адміністрація
настоящих, справжніх
ведения, ведення
участия, участі
законодательные, законодавчі
действие, дія
охране, охорони
строке, рядку
состояния, стану
задач, задач
плана, плану
реестр, реєстр
жизни, життя
имущество, майно
Бурятия, Бурятія
приказа, наказу
национальной, національної
рассмотрение, розгляд
муниципальный, муніципальний
внебюджетными, позабюджетними
финансирование, фінансування
слов, слів
площадь, площа
семьи, сім'ї
суммы, суми
животных, тварин
президент, президент
счета, рахунки
указанной, зазначеної
учет, облік
конкурса, конкурсу
Осетия, Осетія
смоленской, смоленської
судьей, суддею
выплат, виплат
заместителю, заступнику
межбюджетные, міжбюджетні
котором, якому
правовыми, правовими
зданий, будівель
установить, встановити
предложения, пропозиції
ассигнования, асигнування
суд, суд
нормативными, нормативними
федеральное, федеральне
дела, справи
целевая, цільова
костромской, костромський
брянской, брянської
контролю, контролю
образовательной, освітньої
ситуаций, ситуацій
должностей, посад
финансовых, фінансових
специальных, спеціальних
жилья, житла
целевых, цільових
исполнением, виконанням
постановлению, постановою
депутатов, депутатів
широты, широти
втором, другому
задолженности, заборгованості
веществ, речовин
кандидатов, кандидатів
проведению, проведення
задачи, завдання
материалы, матеріали
надзора, нагляду
собственность, власність
оплату, оплату
объемы, обсяги
государственном, державному
целью, метою
опубликования, опублікування
подпункте, підпункті
направленных, спрямованих
последствий, наслідків
финансовый, фінансовий
профессиональных, професійних
бумаг, паперів
родителей, батьків
вид, вид
вида, виду
дополнений, доповнень
создания, створення
подразделений, підрозділів
интересов, інтересів
инвестиционных, інвестиційних
направить, направити
материально, матеріально
установлении, встановленні
эксплуатацию, експлуатацію
ответственности, відповідальності
изделий, виробів
ивановской, іванівської
жилого, житлового
министров, міністрів
здания, будівлі
казенными, казенними
осуществлять, здійснювати
хранения, зберігання
юридическим, юридичним
подразделения, підрозділи
крыши, даху
учреждениях, установах
признании, визнання
законе, законі
план, план
подведомственных, підвідомчих
отказе, відмову
кирпичные, цегляні
соответствие, відповідність
необходимые, необхідні
такого, такого
затраты, витрати
исполнении, виконанні
оценка, оцінка
соответствующей, відповідної
движения, руху
трансферты, трансферти
единиц, одиниць
часов, годин
дополнительных, додаткових
вложения, вкладення
взаимодействия, взаємодії
разделе, розділі
налогового, податкового
рынка, ринку
компенсации, компенсації
утвержденный, затверджений
калужской, калузької
выдачи, видачі
требованиями, вимогами
случаев, випадків
промышленной, промислової
указываются, вказуються
тюменской, тюменської
страховых, страхових
расчета, розрахунку
академии, академії
Алания, Аланія
заключение, висновок
урожденная, уроджена
человека, людини
министерстве, міністерстві
соответственно, відповідно
производится, Виготовляється
отчество, батькові
архангельской, архангельській
таблетки, таблетки
утвержденных, затверджених
количестве, кількості
гражданских, цивільних
руководителем, керівником
рождения, народження
перечня, переліку
навливаются, навливаются
направлении, напрямку
общественной, суспільної
следует, слід
уголовно, кримінально
номера, номера
фасада, фасаду
специалитета, специалітети
месте, місці
службой, службою
создании, створенні
указанному, зазначеному
заболеваний, захворювань
доме, будинку
границ, кордонів
анализа, аналізу
ставропольского, ставропольського
различных, різних
противопожарной, протипожежної
хабаровского, хабаровського
объединений, об'єднань
ограниченной, обмеженою
покрытые, покриті
планирования, планування
имущественного, майнового
соблюдения, дотримання
московская, московська
возрасте, віці
перевозки, перевезення
уплаты, сплати
годов, років
уплату, сплату
словом, словом
объект, об'єкт
сооружения, споруди
дошкольного, дошкільного
заседании, засіданні
конкурсной, конкурсній
процедур, процедур
некоторых, деяких
ведение, ведення
вооруженных, збройних
иное, інше
продовольствия, продовольства
физическим, фізичним
областном, обласному
созданию, створення
амурской, амурської
индивидуальным, індивідуальним
распределение, розподіл
войск, військ
главному, головному
экономических, економічних
состоянии, стані
члены, члени
прием, прийом
гарантий, гарантій
положением, становищем
подпункта, підпункту
сельской, сільській
железнодорожного, залізничного
назначение, призначення
пребывания, перебування
технические, технічні
принятие, прийняття
автономной, автономної
имеют, мають
давления, тиску
хранение, зберігання
расчет, розрахунок
препараты, препарати
предложение, речення
прилагаемые, додаються
обработки, обробки
определяет, визначає
собрание, збори
молодежной, молодіжної
рассмотрении, розгляді
отрасли, галузі
зон, зон
направление, напрямок
участием, участю
обязан, зобов'язаний
выборов, виборів
структурных, структурних
базе, базі
наименования, найменування
искусства, мистецтва
краевого, крайового
местах, місцях
хозяйство, господарство
забайкальского, забайкальського
проверка, перевірка
заявитель, заявник
условиями, умовами
директор, директор
кемеровской, Кемеровській
зоне, зоні
класса, класу
сертификации, сертифікації
договором, договором
молодых, молодих
денежные, грошові
ответственностью, відповідальністю
декларации, декларації
воздушных, повітряних
зарегистрирован, зареєстрований
обращение, звернення
получателя, одержувача
органе, органі
сборов, зборів
категориям, категоріям
красноярского, красноярського
специальной, спеціальної
контракта, контракту
расходных, витратних
правом, правом
холодного, холодного
заместителем, заступником
результативности, результативності
комиссий, комісій
поддержке, підтримки
уровне, рівні
служащего, службовця
паспорта, паспорта
правовые, правові
утвержден, затверджений
имеющие, мають
белгородской, бєлгородською
некоторые, деякі
пассажиров, пасажирів
инструкции, інструкції
устройства, пристрою
направлению, напрямку
энергетической, енергетичної
ввода, введення
телекоммуникационной, телекомунікаційної
севера, півночі
мурманской, мурманської
работа, робота
дополнительные, додаткові
записи, записи
электронных, електронних
основания, основи
природного, природного
центральная, центральна
председателем, головою
трудовая, трудова
делами, справами
имуществом, майном
процента, відсотка
учебно, навчально
округе, окрузі
народных, народних
судей, суддів
доходах, доходи
поселений, поселень
временного, тимчасового
гражданами, громадянами
далее, далі
соответствующим, відповідним
подпрограмме, подпрограмме
изменении, зміні
раствор, розчин
участке, ділянці
автономный, автономний
машин, машин
субъектам, суб'єктам
топлива, палива
средствах, засобах
детям, дітям
учебных, навчальних
финансовом, фінансовому
модернизации, модернізації
регистрацию, реєстрацію
комплексов, комплексів
принятых, прийнятих
деятельностью, діяльністю
поселения, поселення
массовых, масових
состояние, стан
самостоятельно, самостійно
единица, одиниця
заявок, заявок
реестре, реєстрі
судна, судна
используемых, використовуваних
врач, лікар
рязанской, рязанської
научные, наукові
воздушного, повітряного
воинских, військових
сообщения, повідомлення
систему, систему
расчете, розрахунку
оформления, оформлення
федерацией, федерацією
физического, фізичного
цены, ціни
имеющим, мають
стандартов, стандартів
здание, будівлю
праве, право
обязательных, обов'язкових
проекты, проекти
операции, операції
прочих, інших
мощности, потужності
получении, отриманні
документами, документами
возмещения, відшкодування
устройство, пристрій
товара, товару
входящих, що входять
генерального, генерального
отчета, звіту
транспортом, транспортом
соглашением, угодою
единый, єдиний
воздействия, впливу
недр, надр
доход, дохід
педагогических, педагогічних
возникновения, виникнення
запроса, запиту
категория, категорія
кандидата, кандидата
ограниченными, обмеженими
возможностями, можливостями
функция, функція
должностные, посадові
образом, чином
получателей, одержувачів
паспорт, паспорт
многоквартирном, багатоквартирному
опытно, дослідно
исследовательский, дослідний
иностранной, іноземній
соглашений, угод
оригинала, оригіналу
промышленного, промислового
компании, компанії
заключении, укладанні
нормы, норми
гражданским, цивільним
условиям, умовами
саратовской, саратовській
наркотических, наркотичних
российского, російського
использовать, використовувати
регулирование, регулювання
федерация, федерація
приборов, приладів
уплате, сплаті
цвета, кольори
изделия, вироби
направляются, направляються
районах, районах
норм, норм
внедрение, впровадження
комитету, комітету
механизмов, механізмів
оружия, зброї
решении, рішенні
должностным, посадовим
персональных, персональних
денежной, грошової
культуре, культурі
назначить, призначити
врача, лікаря
переданных, переданих
цель, мета
служащим, службовцям
завод, завод
метров, метрів
общее, загальне
экологии, екології
софинансирования, співфінансування
административной, адміністративної
принимается, приймається
пожаров, пожеж
спортивной, спортивної
внесение, внесення
сбора, збору
календарных, календарних
исполнительного, виконавчого
газопровод, газопровід
приготовления, приготування
отсутствия, відсутності
образовательные, освітні
действующим, чинним
регулированию, регулювання
имуществу, майну
местные, місцеві
страны, країни
животноводства, тваринництва
референдума, референдуму
остатков, залишків
страховой, страхової
доступ, доступ
планов, планів
исследовательских, дослідних
решением, рішенням
подтверждающих, підтверджують
военных, військових
законов, законів
морского, морського
