плесневеть, пліснявіти
иммигрантский, іммігрантський
референдум, референдум
антропологический, антропологічний
всеобъемлющий, всеосяжний
видеоконсультация, відеоконсультація
свирепствовать, лютувати
комфортабельный, комфортабельний
редактироваться, редагуватися
полусерьёзно, напівсерйозно
сердиться, сердитися
межконтинентальный, міжконтинентальний
труднодоступный, важкодоступний
аюрведический, аюрведичний
малотиражный, малотиражний
высокоразвитый, високорозвинений
популяризировать, популяризувати
деревообработчик, деревообробник
аденовирус, аденовірус
лабильность, лабільність
смиренность, смирення
воспаляться, запалюватися
возмутительный, обурливий
низкопрофильный, низькопрофільний
лихорадка, лихоманка
стереотипность, стереотипність
малообразованный, малоосвічений
гидроэлектростанция, гідроелектростанція
длинноволокнистый, довговолокнистий
сопротивляться, чинити опір
расстегнуть, розстебнути
вольнодумец, вільнодумець
асфальтобетонный, асфальтобетонний
мрачноватый, похмурий
сконфигурировать, конфігурувати
замаскироваться, замаскуватися
гастрономия, гастрономія
мёрзлый, мерзлий
теплосберегающий, теплозберігаючий
миропонимание, світорозуміння
экспортировать, експортувати
перезапустить, перезапустити
теоретический, теоритичний
лифтинговый, ліфтинговий
округляться, округлятися
умудриться, примудритися
интернетизация, інтернетизація
утилитарность, утилітарність
лингводидактика, лінгводидактика
парапсихологический, парапсихологічний
процитировать, процитувати
газовыделение, газовиділення
комплементарность, компліментарність
антицеллюлитный, антицелюлітний
градостроение, містобудування
вакцинировать, вакцинувати
тестировать, тестувати
символичный, символічний
орнаментальный, орнаментальний
аскетичность, аскетичність
изуродовать, спотворити
разукрашивать, прикрашати
позвоночный, хребетний
приклеивание, приклеювання
откашляться, відкашлятися
засвидетельствовать, засвідчити
легкомысленный, легковажний
дефибриллятор, дефібрилятор
комичность, комічність
обезжиривать, знежирювати
крупногабаритный, великогабаритний
архивохранилище, архівосховище
антигистаминный, антигістамінний
сатисфакция, сатисфакція
эпизодический, епізодичний
подковообразный, підковоподібний
противохимический, протихімічний
подстраховать, підстрахувати
катастрофичный, катастрофічний
заинтересовываться, цікавитися
галлюцинация, галюцинація
локтевой, ліктьовий
травмировать, травмувати
кредитополучатель, кредитоотримувач
анекдотический, анекдотичний
плотоядный, хижий
тромботический, тромботичний
повзрослеть, подорослішати
тракторостроитель, тракторобудівник
скульптор, скульптор
уменьшительный, зменшувальний
фонологический, фонологічний
администраторский, адміністраторський
диффузионный, дифузний
отсоединиться, від'єднатися
золотодобытчик, золотошукач
огрубеть, огрубіти
непропорциональный, непропорційний
зарегистрированый, зареєстрований
травмоопасный, травмонебезпечний
мажоритарный, мажоритарний
крестить, хрестити
завывать, завивати
шумоподавитель, шумопонижувач
аортокоронарный, аортокоронарний
урбанистический, урбаністичний
деформирование, деформування
вейкбординг, вейкбординг
исчерпываться, вичерпуватися
неонатальный, неонатальний
обезглавить, обезголовити
вербализовать, вербалізувати
шумозащита, шумозахист
этничность, етнічність
арфистка, арфистка
реконструктивный, реконструктивний
измельчитель, подрібнювач
стекловидный, склоподібний
закомплексованный, закомплексований
трансформировать, трансформувати
психосоциальный, психосоціальний
погубить, погубити
рекристаллизация, рекристалізація
тонкослойный, тонкошаровий
наворовать, накрасти
черепичный, черепичний
предшкольный, передшкільний
застрелиться, застрелитися
хромированный, хромований
гипоаллергенность, гіпоалергенність
малобюджетный, малобюджетний
импрессионистский, імпресіоністський
аллегорический, алегоричний
озлобить, озлобити
всесезонный, всесезонний
декларироваться, декларуватися
воздухонагреватель, воздухонагреватель
конспиративный, конспіративний
спровоцировать, спровокувати
холостяцкий, холостяцький
послеуборочный, післязбиральний
пенообразование, піноутворення
гидромеханический, гідромеханічний
пролонгировать, пролонгувати
загрязняться, забруднюватися
дислоцироваться, дислокуватися
дисквалифицировать, дискваліфікувати
педантичный, педантичний
водоочистительный, водоочисний
простонародный, простонародний
смехотерапия, сміхотерапія
сжигать, спалювати
высокочастотный, високочастотний
вечнозелёный, вічнозелений
кабинетный, кабінетний
вертолётоносец, вертольотоносець
омолодиться, омолодитися
тяжеловооружённый, важкоозброєний
актуализировать, актуалізувати
монокристаллический, монокристалічний
скорректировать, скорегувати
примириться, примиритися
ветрозащитный, вітрозахисний
криптография, криптографія
сочувствовать, співчувати
нейробиология, нейробіологія
выломать, виламати
аппликация, аплікація
светорассеивающий, світлорозсіювальний
катапультирование, катапультування
пастбищный, пасовищний
горнотехнический, гірничотехнічний
заглатывание, заковтування
ратифицировать, ратифікувати
бисексуальный, бісексуальний
волосковый, волосковий
ситцевый, ситцевий
модернист, модерніст
моноблочный, моноблочний
суетливый, метушливий
углеводородный, вуглеводневий
незамысловатый, нехитрий
пародонтолог, пародонтолог
спиритуалистический, спіритуалістичний
подземелье, підземелля
ламинатный, ламінатний
декорироваться, декоруватися
спиралеобразный, спіралевидний
ретроспективный, ретроспективний
пенопластовый, пінопластовий
израсходовать, витратити
орехоплодный, горіхоплідний
клавишный, клавішний
удовлетворить, задовольнити
воодушевлять, надихати
детерминированность, детермінованість
узкоспециализированный, вузькоспеціалізований
пивоваренный, пивоварний
продублировать, продублювати
равноправность, рівноправність
свежеприготовленный, свіжоприготований
погреб, льох
минералогический, мінералогічний
сверхчеловеческий, надлюдський
скейтбордист, скейтбордист
гидрографический, гідрографічний
адвокатирование, адвокатування
подсознательный, підсвідомий
упорядочить, упорядкувати
андеграундный, андеграундний
сверхчувствительность, надчутливість
поликультурный, полікультурний
водогазопроводный, водогазопровідний
адвокатура, адвокатура
экспрессивный, експресивний
внутрифирменный, внутрішньофірмовий
архаизм, архаїзм
плюралистический, плюралістичний
санкционировать, санкціонувати
реорганизовать, реорганізувати
алмазодобывающий, алмазодобувний
гардеробщик, гардеробник
продиктовать, продиктувати
газодинамический, газодинамічний
валютообменный, валютообмінний
консервировать, консервувати
предреволюционный, передреволюційний
логопедический, логопедичний
законопроект, законопроект
гематогенный, гематогенний
гипнотерапия, гіпнотерапія
плодоовощеводство, плодоовочівництво
горизонтальность, горизонтальність
динозавр, динозавр
снегопад, снігопад
огнеупорность, вогнетривкість
табличный, табличний
антибактериальный, антибактеріальний
церемониальный, церемоніальний
водонагревательный, водогрійний
дислоцированный, дислокований
неудовлетворённый, незадоволений
гипертрофический, гіпертрофічний
лабиринтовый, лабіринтовий
псевдодокументальный, псевдодокументальний
теплоизоляционный, теплоізоляційний
этикетирование, етикетування
всеохватывающий, всеохоплюючий
газоперерабатывающий, газопереробний
ожоговый, опіковий
храпеть, хропіти
межгалактический, міжгалактичний
высокотоксичный, високотоксичний
деморализовать, деморалізувати
восьмиядерный, восьмиядерний
усугубляться, посилюватися
импортировать, імпортувати
волейболистка, волейболістка
визуализировать, візуалізувати
адаптироваться, адаптуватися
полустационарный, напівстаціонарний
сытность, ситність
атмосферостойкость, атмосферостійкість
композиционный, композиційний
теплопотребление, теплоспоживання
сублингвальный, сублінгвальний
бронхиальный, бронхіальний
кокаиновый, кокаїновий
цветоустойчивость, кольоростійкість
винодельный, виноробний
сырзавод, сирзавод
платёжеспособный, платоспроможний
длинноволновый, довгохвильовий
оросить, окропити
толерантность, толерантність
питательный, поживний
двуязычный, двомовний
выловить, виловити
постреволюционный, постреволюційний
толстостенный, товстостінний
рубиновый, рубіновий
влагонепроницаемый, вологонепроникний
антициклон, антициклон
антарктический, антарктичний
видеосъёмка, відеозйомка
нумерологический, нумерологічний
арендовать, орендувати
бездефицитный, бездефіцитний
импрессионистический, імпресіоністичний
криминалистический, криміналістичний
микроскопический, мікроскопічний
густонаселённый, густонаселений
бесступенчатый, безступінчатий
фантазировать, фантазувати
телепатический, телепатичний
диктаторский, диктаторський
безукоризненный, бездоганний
председательствующий, головуючий
пигментный, пігментний
сверхскоростной, надшвидкісний
концентрировать, концентрувати
сентиментальность, сентиментальність
лесоводство, лісництво
размораживаться, розморожуватися
грузооборот, вантажообіг
трицератопс, трицератопс
мертворождённый, мертвонароджений
кораблестроительный, кораблебудівний
сфальшивить, сфальшувати
артикуляционный, артикуляційний
сближаться, зближуватися
междисциплинарный, міждисциплінарний
утопленник, потопельник
аудиовыход, аудіовихід
аскетичный, аскетичний
антиаритмический, антиаритмічний
волшебница, чарівниця
загипнотизировать, загіпнотизувати
кастрировать, каструвати
синоптик, синоптик
оснастить, оснастити
радиоэфир, радіоефір
интерпретировать, інтерпретувати
вкрапление, вкраплення
воспроизводиться, відтворюватися
кощунственный, блюзнірський
теплозащита, теплозахист
корректировать, коригувати
добросердечие, добросердя
жесткошёрстный, жорсткошерстний
бугристый, горбистий
музыковедческий, музикознавчий
холоднокровный, холоднокровний
самопроверка, самоперевірка
аристократичный, аристократичний
утяжелять, обтяжувати
вялотекущий, уповільнений
безналоговый, безподатковий
обрезать, обрізати
газорегуляторный, газорегуляторний
дребезжать, деренчати
бесстрастность, неупередженість
отоларинголог, отоларинголог
библиотековед, библіотековед
демонтировать, демонтувати
теплозащитный, теплозахисний
чешуекрылый, лускокрилий
вирусологический, вірусологічний
анонсироваться, анонсуватися
полуциркульный, напівциркульний
витаминизированный, вітамінізований
впечатлительность, вразливість
лепестковый, пелюстковий
водопроницаемость, водопроникність
очаровывать, зачаровувати
декриминализовать, декриміналізувати
нудистский, нудистський
коллаборативный, колаборативний
гипсокартонный, гіпсокартонний
спидометр, спідометр
двухфазный, двофазний
карикатурный, карикатурний
возобновлять, відновлювати
золотовалютный, золотовалютний
рукодельный, рукодільний
потрескивание, потріскування
тираннозавр, тираннозавр
вентилировать, вентилювати
малочисленный, малочисельний
вынашивать, виношувати
приоткрыть, прочинити
конгруэнтность, конгруентність
микрохирургический, микрохірургічний
межрелигиозный, міжрелігійний
макроскопический, макроскопічний
шифровальный, шифрувальний
застарелый, застарілий
обнюхивать, обнюхувати
безоперационный, безопераційний
ампульный, ампульний
безразличный, байдужий
игральный, гральний
информироваться, інформуватися
нефтесервисный, нафтосервісний
мочегонное, сечогінне
полициклический, поліциклічний
антропоморфный, антропоморфний
кардиоваскулярный, кардіоваскулярний
многоядерный, багатоядерний
браконьерский, браконьєрський
ветроэнергетический, вітроенергетичний
беспроблемный, безпроблемний
взрывопожарный, вибухопожежний
этноконфессиональный, етноконфесійний
бронтозавр, бронтозавр
изолировать, ізолювати
дегустационный, дегустаційний
беспроигрышный, безпрограшний
загрязнить, забруднити
бронхолитик, бронхолитик
низкомолекулярный, низькомолекулярний
запрограммировать, запрограмувати
ароматизированный, ароматизований
реставрационный, реставраційний
реставрироваться, реставруватися
социализировать, соціалізувати
крупнозернистый, крупнозернистий
утончённый, витончений
генеалогический, генеалогічний
стабилизировать, стабілізувати
топонимический, топонімічний
широкопрофильный, широкопрофільний
незамерзающий, незамерзаючий
атомарный, атомарний
просушиваться, просушуватись
расширяемость, розширюваність
гнездиться, гніздитися
покраснеть, почервоніти
рекрутирование, рекрутування
грибовидный, грибоподібний
чистописание, чистопис
вторгнуться, вторгнутися
суперкомпьютерный, суперкомп'ютерний
дерматологический, дерматологічний
жизнерадостный, життєрадісний
арифметический, арифметичний
неквалифицированный, некваліфікований
проиллюстрировать, проілюструвати
светлокожий, светлокожий
целеустремлённый, цілеспрямований
калорийный, калорійний
второсортный, другосортний
средневолокнистый, средньоволокнистий
транспортабельный, транспортабельний
прихрамывать, кульгати
разблокировать, розблокувати
волонтёрство, волонтерство
вылизывать, вилизувати
безальтернативный, безальтернативний
анафорический, анафорический
спецподразделение, спецпідрозділ
катакомбный, катакомбний
этиленовый, етиленовий
косноязычный, недорікуватий
куполообразный, куполоподібний
разъяснительный, роз'яснювальний
физиогномический, фізіогномічний
оштукатурить, обштукатурити
зафиксированный, зафіксований
подкармливать, підгодовувати
сконвертировать, сконвертувати
благотворительный, благодійний
биометрический, біометричний
акклиматизационный, акліматизаційний
кровоточивость, кровоточивість
нежизнеспособный, нежиттєздатний
гипогликемия, гіпоглікемія
бильярдный, більярдний
криминалист, криміналіст
поцарапать, подряпати
монохромность, монохромність
встречаються, зустрічаються
переклассифицировать, перекласифікувати
демонстрировать, демонструвати
газозаправочный, газозаправний
позиционировать, позиціонувати
постмодернист, постмодерніст
бетоносмеситель, бетонозмішувач
астрологический, астрологічний
трансцендентность, трансцендентність
токсоплазма, токсоплазма
структурность, структурність
пастеризатор, пастеризатор
умывальник, умивальник
коррелировать, корелювати
конформизм, конформізм
изношенность, зношеність
инфраструктура, інфраструктура
созерцатель, споглядач
полусинтетический, напівсинтетичний
гидроаккумулятор, гідроакумулятор
вымирать, вимирати
малореально, малореально
молокоотсос, молокоотсос
биопродуктивность, біопродуктивність
верифицировать, верифікувати
аналитичность, аналітичність
перфекционист, перфекціоніст
теплотехнический, теплотехнічний
разъярённый, розлючений
помолвка, заручини
стандартизировать, стандартизувати
конусовидный, конусоподібний
энергосберегающий, енергозберігаючий
инъекционный, ін'єкційний
садоводческий, садівничий
электрогидравлический, електрогідравлічний
радионуклид, радіонуклід
возглавлять, очолювати
анестезиолог, анестезіолог
мотивировать, мотивувати
завладеть, заволодіти
теплообразование, теплоутворення
большегрузный, великовантажний
гидрокарбонатный, гідрокарбонатний
изобильный, рясний
печалиться, засмучуватися
теплообменный, теплообмінний
иммунобиологический, імунобіологічний
межмолекулярный, міжмолекулярний
незамужний, незаміжній
видоизменение, видозміна
спроектировать, спроектувати
высокомолекулярный, високомолекулярний
слабовольный, слабовільний
среднетемпературный, середньотемпературний
внешнеэкономический, зовнішньоекономічний
обезжиренный, знежирений
биотехнологический, біотехнологічний
волнообразный, хвилеподібний
полноформатный, повноформатний
аргументирование, аргументування
вафельница, вафельниця
геофизик, геофізик
теплопроизводительность, теплопродуктивність
аудиоаппаратура, аудіоапаратура
бутербродный, бутербродний
переосмыслить, переосмислити
психоаналитический, психоаналітичний
высокопроизводительный, високопродуктивний
кинопросмотр, кіноперегляд
иерархичность, ієрархічність
многозначительный, багатозначний
заподозрить, запідозрити
крупномасштабный, великомасштабний
самолётостроительный, літакобудівний
многоступенчатый, багатоступінчастий
добровольческий, добровольчий
прокомментировать, прокоментувати
персонифицировать, персоніфікувати
огуречный, огірковий
аудиоматериал, аудіоматеріал
трудоустроить, працевлаштувати
умножить, помножити
утоптать, втоптати
дефицитный, дефіцитний
светопроницаемость, світлопроникність
саморазоблачение, самовикриття
барометрический, барометричний
симпатичный, симпатичний
блаженствовать, блаженствувати
совёнок, совеня
безучастность, байдужість
высокодоходный, високоприбутковий
воскреснуть, воскреснути
воронковидный, лійчастого
нейродермит, нейродерміт
водорастворимый, воронкоподібний
конфронтационный, конфронтаційний
трудоспособный, працездатний
благотворный, благотворний
гидрометеорология, гідрометеорологія
дефектология, дефектологія
нарушительница, порушниця
инкриминировать, інкримінувати
отшлифовать, відшліфувати
бойкотировать, бойкотувати
перегрузочный, перевантажувальний
впечатленный, вражений
автострахование, автострахування
терпеливость, терплячість
аномальность, аномальність
вокзальный, вокзальний
самодеятельный, самодіяльний
морозоустойчивый, морозостійкий
забастовочный, страйковий
протезировать, протезувати
фурункул, фурункул
братоубийственный, братовбивчий
гомосексуализм, гомосексуалізм
многотиражный, багатотиражний
радиопромышленность, радіопромисловості
самочувствие, самопочуття
теплоэлектростанция, теплоелектростанція
скептический, скептичний
кустовой, кущовий
микрочастица, мікрочастинка
рыбохозяйственный, рибогосподарський
крупноформатный, великоформатний
культурист, культурист
растиражировать, розтиражувати
альтруист, альтруїст
взаимовлияние, взаємовплив
постмодернистский, постмодерністський
эвакуационный, евакуаційний
патриархальный, патріархальний
буфетный, буфетний
постимпрессионизм, постімпресіонізм
сверхсовременный, надсучасний
формообразование, формоутворення
шиномонтажный, шиномонтажний
энергокризис, енергокриза
межгрупповой, міжгруповий
безрезультатный, безрезультатний
суживаться, звужуватися
подредактировать, підредагувати
атеросклеротический, атеросклеротичний
реконструироваться, реконструюватися
рентгенодиагностика, рентгенодіагностика
венерологический, венерологічний
галлюциноген, галюциноген
самоустраняться, самоусуватися
этноконфликт, етноконфлікт
перевязочный, перев'язувальний
троюродный, троюрідний
извилина, звивина
кардиограф, кардіограф
кареглазый, кароокий
урбанизированный, урбанізований
мигрировать, мігрувати
загерметизировать, загерметизувати
тротуарный, тротуарний
бомбовый, бомбовий
демонополизация, демонополізація
панический, панічний
саморефлексия, саморефлексія
снисходительный, поблажливий
ритмичность, ритмічність
апеллирование, апелювання
легализоваться, легалізуватися
мясоедение, м'ясоїдство
биогеографический, біогеографічний
подмигивание, підморгування
компьютеризировать, комп'ютеризувати
зрительница, глядачка
апостилирование, апостилювання
намагничивание, намагнічування
произносить, вимовляти
специализировать, спеціалізувати
руководствоваться, керуватися
кинематографический, кінематографічний
гипнотизировать, гіпнотизувати
аминокислотный, амінокислотний
асфальтосмесительный, асфальтозмішувальний 
сапёр, сапер
обструктивный, обструктивний
пластилиновый, пластиліновий
лицензировать, ліцензувати
транснациональный, транснаціональний
гардеробный, гардеробний
собственноручный, власноручний
космологический, космологічний
молитвенный, молитовний
утилизировать, утилізувати
рецессивный, рецесивний
спецтехнология, спецтехнологія
животновод, тваринник
воздухопроницаемый, повітропроникний
респектабельный, респектабельний
вероятность, ймовірність
самосожжение, самоспалення
видеозаписывающий, відеозаписувальний
позавтракать, поснідати
беспрецедентность, безпрецедентність
вдохновлять, надихати
лингвопроектирование, лінгвопроектування
пульсировать, пульсувати
сенсационный, сенсаційний
антагонизм, антагонізм
ущемляться, обмежуватися
отсоединить, від'єднати
взрываться, вибухати
чрезвычайный, надзвичайний
переквалифицироваться, перекваліфікуватися
обеззаразить, знезаразити
радиолаборатория, радіолабораторія
коррумпировать, корумпувати
гангстерский, гангстерський
заблокировать, заблокувати
стеклокерамический, склокерамічний
засыхание, засихання
детоксикационный, детоксикаційний
словообразовательный, словотвірний
тракторостроение, тракторобудування
интернациональный, інтернаціональний
гистологический, гістологічний
кровоизлияние, крововилив
комплементарный, комплементарний
вращаться, обертатися
гламурность, гламурність
социолингвистический, соціолінгвістичний
анатомичный, анатомічний
коридорный, коридорний
изувечить, понівечити
растительноядный, рослиноїдний
библиографоведение, бібліографознавство
берегоукрепительный, берегоукріплювальний
кристальный, кришталевий
прямохождение, прямоходіння
модифицироваться, модифікуватися
патриархальность, патріархальність
лавиноопасный, лавинонебезпечний
усыновить, усиновити
очеловечивание, олюднення
безграмотный, безграмотний
рекламировать, рекламувати
лимитировать, лімітувати
ароматерапевтический, ароматерапевтичний
малопривлекательный, малопривабливий
коптить, коптити
психостимулятор, психостимулятор
суррогатный, сурогатний
взаимозависимый, взаємозалежний
магнолия, магнолія
безжалостность, безжалісність
биомеханический, біомеханічний
брусничный, брусничний
изобразить, зобразити
вирусоноситель, вірусоносій
застеклить, засклити
выбиться, вибитися
широкомасштабный, широкомасштабний
возродить, відродити
патронатный, патронатний
удушать, душити
креветка, креветка
координировать, координувати
артистичный, артистичний
мусульманство, мусульманство
изнасиловать, згвалтувати
сосредоточить, зосередити
тренинговый, тренінговий
звездообразование, зореутворення
стрессоустойчивость, стресостійкість
абстрагирование, абстрагування
изголодаться, зголодніти
фотометрический, фотометричний
парадоксальный, парадоксальний
деревообработка, деревообробка
своенравный, норовливий
тонизировать, тонізувати
травматичность, травматичність
зуботехнический, зуботехнічний
искалечить, скалічити
особоуполномоченный, особливоуповноважений
кратковременный, короткочасний
термохимический, термохімічний
амбивалентный, амбівалентний
систематизировать, систематизувати
яйцеклетка, яйцеклітина
переубедить, переконати
расследовать, розслідувати
очерстветь, зачерствіти
витаминотерапия, вітамінотерапія
корыстолюбие, користолюбство
цереброваскулярный, цереброваскулярний
двухцилиндровый, двоциліндровий
маскулинизация, маскулінізація
абсорбировать, абсорбувати
глобализовать, глобалізувати
капитализироваться, капіталізуватися
тяжелобольной, тяжкохворий
асимметричный, асиметричний
феерический, феєричний
гидрохимический, гідрохімічний
шумозащитный, шумозахисний
выбить, вибити
пpедпpиятие, підприємство
термостойкий, термостійкий
двустворчатый, двостулковий
безаварийный, безаварійний
деликатесный, делікатесний
торпедирование, торпедування
миндалевидный, мигдалеподібний
вдохновляющий, надихаючий
высокотемпературный, високотемпературний
злопамятность, злопам'ятність
кольцеобразный, кільцеподібний
ассоциировать, асоціювати
автоматизировать, автоматизувати
зерноводство, зерноводство
ксерокопирование, ксерокопіювання
барьерный, бар'єрний
налогооблагать, оподатковувати
аннулировать, анулювати
чистосердечный, щирий
сберегаться, зберігатися
скотобойня, бойня
химиотерапевтический, хіміотерапевтичний
откорректировать, відкоригувати
гондола, гондола
соревновательный, змагальний
спрогнозировать, спрогнозувати
мелкооптовый, дрібнооптовий
высокобюджетный, високобюджетний
астробиолог, астробіолог
кофемолка, кавомолка
госпитализировать, госпіталізувати
обеспокоить, стурбувати
аромотерапия, аромотерапія
психоэмоциональный, психоемоційний
закономерный, закономірний
бесповоротный, безповоротний
пожертвовать, пожертвувати
кристаллизоваться, кристалізуватися
геномодифицированный, геномодифікований
меланхолический, меланхолійний
селективность, селективність
мультикультурность, мультикультурність
абсорбироваться, абсорбуватися
лицемерить, лицемірити
автомобилестроительный, автомобілебудівний
терпеливый, терплячий
катализировать, каталізувати
документированный, документований
доброкачественный, доброякісний
политкорректный, політкоректний
лопнуть, луснути
дезинфекционный, дезінфекційний
высокорадиоактивный, високорадіоактивний
параллелизм, паралелізм
бальзамический, бальзамічний
костюмерный, костюмерний
видеосамоучитель, видеосамоучитель
куринный, курячий
грузоподъёмный, вантажопідйомний
типографический, типографічний
анафилаксия, анафілаксія
хлюпать, хлюпати
комбинаторика, комбінаторика
обустроить, облаштувати
нанотехнологический, нанотехнологічний
метрологический, метрологічний
моносахарид, моносахарид
ослеплять, засліплювати
мечтательный, мрійливий
книговыдача, книговидача
аэродинамический, аеродинамічний
аннотировать, анотувати
воодушевлённый, натхненний
аритмичный, аритмічний
секторный, секторний
повалить, повалити
пикетировать, пікетувати
безосновательный, безпідставний
подбросить, підкинути
настигать, наздоганяти
дугообразный, дугоподібний
засухоустойчивый, засухостійкий
законсервировать, законсервувати
регулировщик, регулювальник
психодиагностический, психодіагностичний
гиперпигментация, гіперпігментація
сверхнормативный, наднормативний
модерироваться, модеруватись
обнаруживать, виявляти
биоревитализация, биоревіталізация
легкоатлетический, легкоатлетичний
газоснабжающий, газопостачальний
оправдывать, виправдовувати
абстракционист, абстракціоніст
шахтёр, шахтар
влагозащитить, вологозахистити
изумиться, подивуватися
голодать, голодувати
бензозаправка, бензозаправка
демобилизовать, демобілізувати
исчезновение, зникнення
завязываться, зав'язуватися
сфокусировать, сфокусувати
дискриминировать, дискримінувати
сверхчувствительный, надчутливий
соболезнование, співчуття
токсикологический, токсикологічний
ветроэнергетика, вітроенергетика
зубосохранять, зубозберігати
инаугурационный, інавгураційний
высокочистый, високочистий
видеофиксатор, відеофіксатор
выкопать, викопати
инвестировать, інвестувати
откусывать, відкушувати
гипертрофированный, гіпертрофований
трехцветной, триколірний
бриллиантовый, діамантовий
цитрусоводство, цитрусоводство
многомесячный, багатомісячний
межрегиональный, міжрегіональний
традиционалист, традиціоналіст
светоизлучающий, світловипромінюючий
физиотерапевт, фізіотерапевт
кардиохирург, кардіохірург
стеклообразный, склоподібний
нечувствительный, нечутливий
радиоуглеродный, радіовуглецевий
межличностный, міжособистісний
зерноочистительный, зерноочисний
многоугольный, багатокутний
буферизация, буферизація
иероглифический, ієрогліфічний
бюрократизация, бюрократизація
аккумулировать, акумулювати
