радиоактивный, радіоактивний
дислокация, дислокація
табачный, тютюновий
показатель, показник
индивидуально, індивідуально
допустимый, допустимий
копия, копія
отмечаться, відзначатися
аудиторский, аудиторський
бедствие, лихо
русский, російський
розничный, роздрібний
лаборатория, лабораторія
проживать, проживати
сегодня, сьогодні
дифференциация, диференціація
отличие, відміна
естественный, природний
направляться, направлятися
посадочный, посадковий
гипофизарный, гіпофізарний
санитария, санітарія
пенсионер, пенсіонер
нарушить, порушити
родитель, батько
прапорщик, прапорщик
инженерный, інженерний
крупный, великий
сравнение, порівняння
ограничить, обмежити
аналогичный, аналогічний
включить, увімкнути
прыжок, стрибок
слой, шар
министерство, міністерство
единица, одиниця
претендовать, претендувати
выручить, виручити
детский, дитячий
сеть, мережа
совместный, спільний
создать, створити
вероятность, ймовірність
денежный, грошовий
жалоба, скарга
технолог, технолог
портфель, портфель
гормон, гормон
компания, компанія
импортёр, імпортер
исследование, дослідження
расшифровка, розшифровка
принять, прийняти
задержка, затримка
инфекция, інфекція
бытовой, побутовий
комплект, комплект
согласовываться, узгоджуватися
личный, особистий
включать, включати
видео, відео
коррозия, корозія
рекреационный, рекреаційний
суммирование, підсумовування
уплачивать, сплачувати
апелляционный, апеляційний
кредитный, кредитний
оптический, оптичний
сохраняться, зберігатися
убедиться, переконатися
компонент, компонент
основываться, грунтуватися
восточный, східний
хорошо, добре
главный, головний
диспетчерский, диспетчерський
реформирование, реформування
вклад, внесок
взрыв, вибух
подписать, підписати
прокат, прокат
дезинфекция, дезінфекція
просвещение, просвіта
биржевой, біржовий
секретный, секретний
бухгалтер, бухгалтер
искусственный, штучний
минеральный, мінеральний
амбулатория, амбулаторія
маршрут, маршрут
этаж, поверх
композиционный, композиційний
набор, набір
здание, будівлю
строгий, суворий
цистерна, цистерна
претензия, претензія
эксплуатировать, експлуатувати
глобальный, глобальний
балет, балет
штраф, штраф
аэродром, аеродром
препятствовать, перешкоджати
ткань, тканина
выдвинуть, висунути
досудебный, досудовий
повышенный, підвищений
депозитарный, депозитарний
долгосрочный, довгостроковий
местонахождение, місцезнаходження
администрация, адміністрація
запись, запис
аэрозоль, аерозоль
магнитный, магнітний
хранилище, сховище
модификация, модифікація
терминал, термінал
местоположение, місце розташування
злокачественный, злоякісний
летний, річний
моряк, моряк
обмен, обмін
артист, артист
строительный, будівельний
устье, гирлі
уборка, прибирання
влиять, впливати
горячее, гаряче
упорядочение, впорядкування
полигон, полігон
художественный, художній
дежурный, черговий
фильтровать, фільтрувати
подпись, підпис
установка, установка
разрешить, дозволити
психиатрический, психіатричний
предлагать, пропонувати
положительный, позитивний
охота, полювання
оставаться, залишатися
кожный, шкірний
цвета, кольори
коммуникационный, комунікаційний
карантин, карантин
заверение, завірення
упрощённый, спрощений
смешанный, змішаний
театр, театр
пешеходный, пішохідний
приём, прийом
момент, момент
обеспечивать, забезпечувати
агент, агент
чертёж, креслення
телефон, телефон
гарантийный, гарантійний
электроэнергия, електроенергія
стимулирование, стимулювання
реализовать, реалізувати
расширение, розширення
загрузка, завантаження
действие, дія
операция, операція
рассчитать, розрахувати
состоять, складатися
ознакомить, ознайомити
оценка, оцінка
многодетный, багатодітний
дорога, дорога
низкий, низький
исправление, виправлення
стол, стіл
окрашивание, фарбування
мобилизационный, мобілізаційний
формула, формула
значимый, значимий
проблема, проблема
болезнь, хвороба
подтвердить, підтвердити
экономия, економія
карточка, картка
миокард, міокард
застройка, забудова
подвижный, рухливий
энергия, енергія
среднесрочный, середньостроковий
исполнить, виконати
надёжно, надійно
объявление, оголошення
кабинет, кабінет
кассовый, касовий
причал, причал
частота, частота
законопроект, законопроект
недоставать, бракувати
уплатить, сплатити
адаптировать, адаптувати
страдать, страждати
неделя, тиждень
практический, практичний
обратиться, звернутися
общегосударственный, загальнодержавний
равенство, рівність
сельскохозяйственный, сільськогосподарський
первичный, первинний
собеседование, співбесіда
врождённый, вроджений
депутатский, депутатський
выборочный, вибірковий
нанести, нанести
справка, довідка
вмешательство, втручання
термический, термічний
обладать, володіти
вертикальный, вертикальний
обязательный, обов'язковий
медикамент, медикамент
безаварийный, безаварійний
навык, навик
внести, внести
хлорид, хлорид
человек, людина
молодая, молода
пассажир, пасажир
солнечный, сонячний
лента, стрічка
зачислять, зараховувати
параметр, параметр
поправка, поправка
взимать, стягувати
обновление, оновлення
активность, активність
периодический, періодичний
законный, законний
выполнять, виконувати
врач, лікар
диспансер, диспансер
граф, граф
фестиваль, фестиваль
реформа, реформа
политический, політичний
недвижимый, нерухомий
ненормированный, ненормований
удовлетворять, задовольняти
инфраструктура, інфраструктура
временный, тимчасовий
осудить, засудити
составлять, складати
войти, увійти
стоматолог, стоматолог
военнослужащий, військовослужбовець
проставлять, проставляти
комиссариат, комісаріат
массовый, масовий
инвентарь, інвентар
распоряжаться, розпоряджатися
план, план
зона, зона
инвестированный, інвестований
поставлять, постачати
перечислять, перераховувати
регистрационный, реєстраційний
переход, перехід
подлежать, підлягати
использовать, використовувати
хороший, хороший
перераспределение, перерозподіл
штат, штат
прибор, прилад
сформировать, сформувати
работодатель, роботодавець
станок, верстат
клиент, клієнт
расторжение, розірвання
зелёный, зелений
сокращение, скорочення
диагностика, діагностика
сгорание, згоряння
управление, управління
свидетель, свідок
стационар, стаціонар
внимание, увага
диаметр, діаметр
приобретать, здобувати
оценивать, оцінювати
сервис, сервіс
слева, ліворуч
предполагать, припускати
ежегодный, щорічний
исторический, історичний
почка, нирка
водитель, водій
грудь, груди
психоактивный, психоактивний
совмещение, суміщення
блюдо, страва
распространение, поширення
охотничий, мисливський
повышение, підвищення
решаться, вирішуватися
произвести, провести
здесь, тут
оказаться, виявитися
лагерь, табір
спортсмен, спортсмен
аграрный, аграрний
выбор, вибір
железобетонный, залізобетонний
вести, вести
механизировать, механізувати
законодательный, законодавчий
прокурор, прокурор
трубопровод, трубопровід
простой, простий
чётко, чітко
соль, сіль
возмещаться, відшкодовуватися
определённый, певний
диспетчер, диспетчер
испытывать, відчувати
экстремальный, екстремальний
непосредственный, безпосередній
серый, сірий
принадлежать, належати
зимний, зимовий
ратифицировать, ратифікувати
экспертный, експертний
устный, усний
водолазный, водолазний
планирование, планування
противопожарный, протипожежний
свидетельство, свідоцтво
учитывать, враховувати
организационный, організаційний
символ, символ
благотворительный, благодійний
найм, найм
таблица, таблиця
специфика, специфіка
генерал, генерал
песнь, пісня
взаимоотношение, взаємовідношення
фуражка, кашкет
деревянный, дерев'яний
рабочий, робочий
плита, плита
рождаемость, народжуваність
подраздел, підрозділ
демонстрировать, демонструвати
полёт, політ
поступить, вступити
хозяйство, господарство
вниз, вниз
отвечать, відповідати
сигнал, сигнал
подведомственный, підвідомчий
обложение, оподаткування
трансформаторный, трансформаторний
западный, західний
выслуга, вислуга
действующий, діючий
маломерный, маломірний
прошлый, минулий
суммарный, сумарний
преимущество, перевага
загрязнение, забруднення
туроператор, туроператор
генеральный, генеральний
информационный, інформаційний
бумажный, паперовий
давность, давність
именовать, іменувати
октябрьский, жовтневий
технологический, технологічний
принуждение, примус
туловище, тулуб
образ, образ
ранний, ранній
договариваться, домовлятися
улица, вулиця
кровообращение, кровообіг
копировальный, копіювальний
сапог, чобіт
отрасль, галузь
педагогический, педагогічний
обесценение, знецінення
гигиенический, гігієнічний
структурный, структурний
списание, списання
правительство, уряд
назначить, призначити
инженер, інженер
обвинение, звинувачення
получить, отримати
стража, стража
адрес, адреса
поезд, потяг
монтаж, монтаж
бензин, бензин
ультразвуковой, ультразвуковий
магистральный, магістральний
перегрузка, перевантаження
отметка, відмітка
доводить, доводити
считать, вважати
пройти, пройти
ребёнок, дитина
сторона, сторона
гербовый, гербовий
патриотический, патріотичний
предшествовать, передувати
поступление, надходження
ядерный, ядерний
равный, рівний
вывод, висновок
проводить, проводити
референт, референт
плановый, плановий
выявить, виявити
разбирательство, розгляд
апрель, квітень
выплатной, виплатний
декларирование, декларування
земля, земля
синтетический, синтетичний
овощ, овоч
субстанция, субстанція
расписка, розписка
консультант, консультант
трудовой, трудовий
квартальный, квартальний
поставщик, постачальник
потребительский, споживчий
житель, житель
фактический, фактичний
укомплектовать, укомплектувати
уплачиваться, сплачуватися
депутат, депутат
общественность, громадськість
деление, поділ
арендный, орендний
возлагаться, покладатися
каникулярный, канікулярний
оптимальный, оптимальний
мягкий, м'який
достижение, досягнення
режимный, режимний
налоговый, податковий
газораспределительный, газорозподільний
извещать, сповіщати
самореализация, самореалізація
многосторонний, багатосторонній
конструкторский, конструкторський
длительность, тривалість
планировочный, планувальний
водный, водний
интернат, інтернат
достаточность, достатність
костюм, костюм
механический, механічний
хвойный, хвойний
лотерейный, лотерейний
воздушный, повітряний
служебный, службовий
уведомлять, повідомляти
дисциплина, дисципліна
пластика, пластика
деформация, деформація
часто, часто
проступок, проступок
восток, схід
экстренный, екстрений
имущественный, майновий
высадка, висадка
железо, залізо
снять, зняти
исчислить, обчислити
патент, патент
бригадир, бригадир
заболевание, захворювання
разный, різний
поездка, поїздка
стандарт, стандарт
водоём, водойма
